[02:16:00 - 02:16:02] 那也真的非常的糟糕 真的是非常的糟糕
[02:16:02 - 02:16:05] 然后另外还做了类似于这样的产品
[02:16:05 - 02:16:10] 个性化游戏闯关 做不同的任务 做游戏化设计
[02:16:10 - 02:16:12] 同时也有豆腥老师的数字人
[02:16:12 - 02:16:15] 但是豆腥老师这本数字人不会根据你的实际内容
[02:16:15 - 02:16:17] 去做相应的变化
[02:16:17 - 02:16:22] 而只是他通过数字人基于你的不同的选择
[02:16:22 - 02:16:24] 数字人去拿TDS技术
[02:16:24 - 02:16:27] 自动的帮你读一段东西出来
[02:16:27 - 02:16:28] 读一段东西出来
[02:16:29 - 02:16:33] 效果挺不好的
[02:16:33 - 02:16:35] 这个做的并不好
[02:16:35 - 02:16:41] 但是我只是想告诉你们有这样的产品
[02:16:41 - 02:16:45] 就是是这样子用户知道是数字人
[02:16:50 - 02:16:51] 你别说贵司啊
[02:16:51 - 02:16:52] 这不是我们家的
[02:16:52 - 02:16:53] 这不是我们家的
[02:16:53 - 02:16:55] 我们家不会做这种东西
[02:16:55 - 02:16:59] 首先豆神是非常擅长营销的
