[02:44:00 - 02:44:02] 我本身上内容外发
[02:44:02 - 02:44:05] 因为个人时间管理是吧
[02:44:05 - 02:44:06] 我稍微讲一句
[02:44:06 - 02:44:08] 我讲完这个个人时间管理
[02:44:08 - 02:44:09] 怎么算啊
[02:44:09 - 02:44:11] 我的时间管理啊
[02:44:11 - 02:44:13] 你们是不是觉得我的时间管理
[02:44:13 - 02:44:15] 还算是比较强悍呢
[02:44:15 - 02:44:17] 我的时间管理是用了一种
[02:44:17 - 02:44:22] 就是我拿伊隆马斯克的东西当底子
[02:44:22 - 02:44:23] 然后的话
[02:44:23 - 02:44:25] 我自己在这上面做了改良
[02:44:25 - 02:44:26] 我今天不讲改良
[02:44:26 - 02:44:28] 我讲伊隆马斯克的底子
[02:44:28 - 02:44:30] 伊隆马斯克底子
[02:44:30 - 02:44:32] 它叫做time boxing
[02:44:32 - 02:44:33] 什么叫做time boxing
[02:44:33 - 02:44:34] 就是
[02:44:34 - 02:44:36] 对啊
[02:44:36 - 02:44:38] 我这真的
[02:44:38 - 02:44:41] 我这经常收到感谢信
[02:44:41 - 02:44:43] 经常收到各种东西
[02:44:43 - 02:44:45] 我最近的一个感谢信
[02:44:45 - 02:44:48] 是有一个同学
[02:44:48 - 02:44:49] 刚刚拿到了
[02:44:49 - 02:44:51] 我给你看他拿到什么
[02:44:54 - 02:44:56] 前两天刚收招的
[02:44:57 - 02:44:59] 拿到了
[02:44:59 - 02:45:00] 拿到了拍给人
