[00:00:00 - 00:00:03] 我家孩子在我们小区里被别的阿姨送了一台儿童小相机
[00:00:03 - 00:00:05] 我当然还想我怎么给人家回礼呢
[00:00:05 - 00:00:08] 后来到网上查了一下这东西十几块钱一个
[00:00:08 - 00:00:10] 十几块钱一个儿童小相机
[00:00:10 - 00:00:11] 我的天啊
[00:00:11 - 00:00:12] 里面
[00:00:12 - 00:00:13] 里面能拍照
[00:00:13 - 00:00:14] 能有卡
[00:00:14 - 00:00:19] 然后能够和我手机APP去联合
[00:00:19 - 00:00:20] 我当然都疯了
[00:00:20 - 00:00:21] 我说
[00:00:21 - 00:00:24] 网络人的制造能力太可怕了
[00:00:24 - 00:00:25] 我说
[00:00:25 - 00:00:26] 我说
[00:00:26 - 00:00:30] 网络人的制造能力太可怕了
[00:00:30 - 00:00:33] 然后十几块钱的东西
[00:00:33 - 00:00:35] 然后增加了AI的芯片
[00:00:35 - 00:00:36] 增加了AI的功能
[00:00:36 - 00:00:37] 确实加成本了
[00:00:37 - 00:00:39] 但是直接可以卖到599
[00:00:39 - 00:00:41] 以售1000多台
[00:00:41 - 00:00:42] 其中的核心功能就几个
[00:00:42 - 00:00:44] 第一个叫做拍万物
[00:00:44 - 00:00:45] 拍万物有多简单
[00:00:45 - 00:00:48] 拍英语有多简单
[00:00:48 - 00:00:49] 拍文字
[00:00:49 - 00:00:51] AI对话几个能力
[00:00:51 - 00:00:53] 其实是非常简单的东西
[00:00:53 - 00:00:54] 后来我看了一下
[00:00:55 - 00:00:56] 25块钱一个
[00:00:58 - 00:01:00] 这几个能力
