[01:05:00 - 01:05:01] 短視頻呢
[01:05:06 - 01:05:07] 都是一樣的道理
[01:05:08 - 01:05:09] 都是一樣的道理
[01:05:10 - 01:05:11] 未來的狀態就是
[01:05:12 - 01:05:13] 有人去搓
[01:05:13 - 01:05:15] 搓出來的未必
[01:05:15 - 01:05:18] 就是有的有的你搓出來之後可能就
[01:05:20 - 01:05:21] 一個人用是沒有人用
[01:05:21 - 01:05:24] 就跟你拍個短視頻之後的話點讚是零是一樣的
[01:05:25 - 01:05:27] 但是你擁有了一種可能性
[01:05:28 - 01:05:30] 哪怕是1%的概率這個東西
[01:05:30 - 01:05:32] 他能火10%的概率有人用
[01:05:33 - 01:05:36] 有無數多忙忙多人就會去做這件事
[01:05:36 - 01:05:37] 這就是外部科
[01:05:37 - 01:05:39] 這就是外部科定在這個狀態下的特點
[01:05:43 - 01:05:44] 真的
[01:05:50 - 01:05:52] 對你要這麼去說
[01:05:52 - 01:05:55] openclo 就是純外部科定的產物
[01:05:56 - 01:05:59] 100個有一個火了他就是機會
[01:05:59 - 01:06:00] 只要你
