[00:59:00 - 00:59:01] 叫RabbitDo
[00:59:01 - 00:59:04] 客观一点讲还可以对吧
[00:59:04 - 00:59:06] 他确实是个兔子
[00:59:06 - 00:59:08] 他到底是兔子还是什么
[00:59:08 - 00:59:10] 并不太确定
[00:59:10 - 00:59:11] 但确实是RabbitDo
[00:59:11 - 00:59:14] 然后带可以点还出语音
[00:59:14 - 00:59:15] 可以去扣图
[00:59:15 - 00:59:16] 然后OK
[00:59:16 - 00:59:17] 我这个东西
[00:59:17 - 00:59:19] 我去记下来这个词
[00:59:19 - 00:59:20] 我去记下来这个词
[00:59:20 - 00:59:21] 对吧
[00:59:21 - 00:59:24] 然后他再给我例句
[00:59:24 - 00:59:24] RabbitDo
[00:59:24 - 00:59:28] I bought a new rabbitdo at a toaster
[00:59:28 - 00:59:28] 对吧
[00:59:28 - 00:59:30] 然后再加上中文的翻译
[00:59:30 - 00:59:31] 然后RabbitDo
[00:59:31 - 00:59:31] Hong
[00:59:31 - 00:59:33] 然后玩兔子玩偶
[00:59:33 - 00:59:36] 亲相去做对应
[00:59:36 - 00:59:40] 整体的效果其实是相对比较丝滑的
[00:59:40 - 00:59:41] 功能多吗
[00:59:41 - 00:59:42] 功能一点也不多
[00:59:42 - 00:59:45] 核心骨干功能就这一个
[00:59:45 - 00:59:47] 然后主要的能力就是拍照
[00:59:47 - 00:59:49] 大模型把图片识别出来物体
[00:59:49 - 00:59:51] 物品翻译成目标语言
[00:59:51 - 00:59:54] 做例句有TTS功能
[00:59:54 - 00:59:56] 这一套东西
[00:59:56 - 00:59:58] 大家是可以拿扣子做复刻的
[00:59:58 - 01:00:00] 大家是可以拿
