[00:34:00 - 00:34:02] 让你去算里面的某一个面积
[00:34:02 - 00:34:05] 让你去算里面的某一个体积
[00:34:05 - 00:34:08] 或者说要有增加辅助线
[00:34:08 - 00:34:13] 这些东西在你常规的大模型能力上的挑战比较大
[00:34:13 - 00:34:14] 这是根本性的问题
[00:34:14 - 00:34:17] 而不是在于它能不能认出来你那张图
[00:34:17 - 00:34:20] 那张图本身其实是并不难的
[00:34:22 - 00:34:23] 所以在这个点上
[00:34:25 - 00:34:27] 为什么大家一开始都去做什么呢
[00:34:27 - 00:34:30] 大家一开始都去做基本的代数
[00:34:31 - 00:34:33] 然后去做微积分
[00:34:33 - 00:34:34] 去做导数
[00:34:34 - 00:34:36] 去做这些
[00:34:36 - 00:34:38] 而不是去做几何
[00:34:38 - 00:34:40] 几何在这边的困难是最大的
[00:34:40 - 00:34:42] 几何是最大的
[00:34:42 - 00:34:44] 其他的其实都还能有些办法
[00:34:46 - 00:34:47] 然后这里面的话
[00:34:47 - 00:34:51] 我们把相应的input和student name都拿过来
[00:34:51 - 00:34:53] 然后在这里面的话
[00:34:53 - 00:34:54] 我们拿过来之后的话
[00:34:54 - 00:34:57] 这一部分的这个pump
[00:34:57 - 00:34:58] 我们去这么去写
[00:34:58 - 00:34:59] 我们这么去写
