[03:00:00 - 03:00:05] 非常认人的据说 对吧
[03:00:05 - 03:00:07] 而且我再多说一点
[03:00:07 - 03:00:10] 我希望你们在工作中生活中
[03:00:10 - 03:00:15] 养成一种耗然不被欺的一种气场
[03:00:15 - 03:00:18] 耗然不被欺的气场
[03:00:18 - 03:00:20] 是一种什么样的气场
[03:00:20 - 03:00:22] 你们知道在一群人里
[03:00:22 - 03:00:24] 谁会被欺负吗
[03:00:24 - 03:00:25] 是那个最矮的
[03:00:25 - 03:00:27] 最穷的穿的最破的
[03:00:27 - 03:00:29] 不是 是那个看上去好
[03:00:29 - 03:00:31] 欺负的人才会被欺负
[03:00:31 - 03:00:34] 当你的整体的状态
[03:00:34 - 03:00:36] 有一种耗然正气
[03:00:36 - 03:00:38] 你不欺负别人
[03:00:38 - 03:00:40] 你也不允许别人欺负的时候
[03:00:40 - 03:00:42] 没有人会惹你的
[03:00:42 - 03:00:43] 没有人会惹你的
[03:00:43 - 03:00:45] 就是很坦然说
[03:00:45 - 03:00:47] 我手上正有活呢
[03:00:47 - 03:00:49] 15分钟之后我来去找你
[03:00:49 - 03:00:51] 没有人在这一时间内
[03:00:51 - 03:00:53] 会说那不行
[03:00:53 - 03:00:55] 你现在就得过来
[03:00:55 - 03:00:58] 你纯心找啥是不是
