[02:41:00 - 02:41:02] 这都是和传统程序非常大的差异
[02:41:02 - 02:41:04] 传统程序的主要特点是什么
[02:41:04 - 02:41:08] 是文字处理能力OK
[02:41:08 - 02:41:10] 但是多么太处理能力是很差的
[02:41:10 - 02:41:12] 这就带来了很多的机会对吧
[02:41:12 - 02:41:14] AF能教育了四个核心的特质
[02:41:14 - 02:41:16] 这里面有无数多的机会大家可以去参与
[02:41:16 - 02:41:18] 或是复能尿素
[02:41:18 - 02:41:21] 大家可以在这个过程中找到自己能够去做这些事
[02:41:21 - 02:41:23] 然后业务的各个环节
[02:41:23 - 02:41:25] 以及与在这里面不同的细分市场
[02:41:25 - 02:41:29] 我觉得蒋定卫蒋细分是我们这里面的核心的东西
[02:41:29 - 02:41:31] 然后这次的作业
[02:41:31 - 02:41:33] 我们可以做一个简单的东西
[02:41:33 - 02:41:34] 设计一款拍摄食材
[02:41:34 - 02:41:36] 自动生成菜糊的小的工作流出来
[02:41:36 - 02:41:38] 这个东西的话
[02:41:38 - 02:41:40] 我觉得可以让大家验证一下
[02:41:40 - 02:41:42] 现在大家去做多么太解析
[02:41:42 - 02:41:44] 能够做到一个什么效果
[02:41:44 - 02:41:45] 好 下一节课
[02:41:45 - 02:41:47] 给大家去讲一讲智能决策
[02:41:47 - 02:41:48] 讲了这么多的生成事物的AI
[02:41:48 - 02:41:51] 讲一讲智能决策型的决策型的AI
[02:41:51 - 02:41:52] 在大模型时代
[02:41:52 - 02:41:53] 如何通过大模型的文化
[02:41:53 - 02:41:56] 构建决策AI的一些搭建方式
[02:41:56 - 02:41:58] 好吧 我们这节课差不多就到这里
[02:41:58 - 02:41:59] 然后
