[00:33:00 - 00:33:02] 否则非常非常难
[00:33:04 - 00:33:06] 然后在这一部分
[00:33:06 - 00:33:08] 讲话思路之后
[00:33:08 - 00:33:12] 然后我们在这边去得到了相应的一些文本
[00:33:12 - 00:33:13] 然后在这一块
[00:33:13 - 00:33:16] 我们把这个大模型能力分析错题的原因
[00:33:16 - 00:33:19] 然后并把这个结果放到多维表格里面
[00:33:19 - 00:33:23] 我们要把这个结果联动一下
[00:33:23 - 00:33:26] 这个非输的多维表格
[00:33:26 - 00:33:30] 然后这里面我们因为是在之前做的
[00:33:30 - 00:33:32] 我们还是用的dip sync v3去做的
[00:33:32 - 00:33:37] 然后input是这个刚才所分析出来的这个错题内容
[00:33:38 - 00:33:42] 不是几何是这样子的怪不怪
[00:33:42 - 00:33:45] 几何的问题不是在于这张图片
[00:33:45 - 00:33:48] 识别图片并不难
[00:33:48 - 00:33:50] 识别图片并不难
[00:33:50 - 00:33:55] 而真正的难度不是在于识别和让用户做二次确认
[00:33:55 - 00:34:00] 真正的难度是几何的图片出来之后
