[00:01:00 - 00:01:02] 龟玉
[00:01:03 - 00:01:04] 小燕你好
[00:01:04 - 00:01:05] 9999你好
[00:01:05 - 00:01:08] 热身師明小李你好
[00:01:17 - 00:01:19] 然后肉肉球阿古
[00:01:19 - 00:01:21] 道陵所飞在路上
[00:01:21 - 00:01:24] 恨水中脑子王999
[00:01:24 - 00:01:25] 你们好啊
[00:01:26 - 00:01:29] 那一铝阳光你好
[00:01:33 - 00:01:35] 咱们讲讲教育类的这个产品
[00:01:35 - 00:01:37] 教育类的产品的话
[00:01:37 - 00:01:39] 说实话机会特别多
[00:01:42 - 00:01:43] 咱们认真的说
[00:01:43 - 00:01:44] 就是教育类的
[00:01:44 - 00:01:47] 智能体能够有的市场机会
[00:01:47 - 00:01:48] 手上是非常多的
[00:01:48 - 00:01:50] 大家知道是为什么了
[00:01:50 - 00:01:53] 或者我们可以讲一下就是
[00:01:53 - 00:01:55] 现在这个市场行情中什么样的
