[00:00:00 - 00:00:08] 刚才那个那个那个谁刚才那个那个灌灯包子一边开高速一边听我的课
[00:00:08 - 00:00:11] 这这这能不让他小心吗
[00:00:11 - 00:00:13] 不是生成类的我告诉大家答案吧
[00:00:13 - 00:00:14] 我要大家答案吧
[00:00:15 - 00:00:18] 是用户能掏钱的
[00:00:21 - 00:00:22] 你们可能觉得这这这是句废话
[00:00:22 - 00:00:24] 但我告诉你这不是句废话
[00:00:24 - 00:00:29] 只有用户能掏钱的这种产品才能有机会
[00:00:30 - 00:00:33] 我没有开玩笑原因是什么
[00:00:33 - 00:00:36] 原因在于第一个谁现在在大模型这个情况下
[00:00:37 - 00:00:40] 他能够扛着能够让用户免费用
[00:00:41 - 00:00:48] 只有像新BAT这种级别的只有这种级别的才能扛得住
[00:00:49 - 00:00:53] 如果不是这种级别的话根本就扛不住大模型烧头很这件事情
[00:00:54 - 00:00:54] 对吧
[00:00:54 - 00:00:56] 而且现在的融资结构
[00:00:56 - 00:00:59] 我不知道大家对这事有没有兴趣
[00:00:59 - 00:00:59] 有没有对于
