[02:53:00 - 02:53:01] 这件事的核心是什么
[02:53:01 - 02:53:06] 你的事多就一定要专注于自己的事
[02:53:06 - 02:53:08] 你特别多的时候的话
[02:53:08 - 02:53:09] 你会被别人撕扯掉
[02:53:09 - 02:53:12] 你特别会被别人撕扯掉
[02:53:12 - 02:53:13] 什么叫做被别人撕扯掉呢
[02:53:13 - 02:53:17] 就是你要干今天可能有四件事
[02:53:17 - 02:53:18] 你自己事还没干了
[02:53:18 - 02:53:20] 被别人去拽过来说
[02:53:20 - 02:53:21] 咱们来讨论一个东西
[02:53:21 - 02:53:23] 咱们来去说这么一个东西
[02:53:23 - 02:53:25] 你脑子里还得装着瞎事
[02:53:25 - 02:53:27] 所以你的事就一件一件的拖
[02:53:27 - 02:53:28] 我告诉你一个方法
[02:53:29 - 02:53:31] 你就是这45分钟
[02:53:31 - 02:53:32] 你边上立一牌子
[02:53:32 - 02:53:35] 这个时间不准别人动
[02:53:35 - 02:53:38] 大家去立一个小的规则
[02:53:38 - 02:53:41] 这次文章就是他属于你的
[02:53:41 - 02:53:43] 他属于你的
[02:53:43 - 02:53:47] sorry 都是领导软
[02:53:47 - 02:53:51] 那你这是领导面前的红人啊
[02:53:51 - 02:53:52] 那就是领导面前的红人啊
[02:53:54 - 02:53:55] 对不对
[02:53:56 - 02:53:57] 没写有prd
[02:53:57 - 02:53:58] 怎么确认自己写的行不行
[02:53:58 - 02:53:59] 扔给大魔咻
[02:53:59 - 02:54:00] 扔
