[02:17:00 - 02:17:05] 这样下企业 第二个 调生大云它的销售卖点是这样子
[02:17:05 - 02:17:09] 他跟家长说的是叫做 他跟家长说
[02:17:09 - 02:17:15] 就是我们用了最新的AI大模型技术 自适用教学体验
[02:17:15 - 02:17:18] 豆腥老师个人的IP轻轻打造
[02:17:18 - 02:17:19] 他说的是这几句话
[02:17:22 - 02:17:25] 你家是不是没有试零的孩子
[02:17:30 - 02:17:34] 这个在试零的孩子在二线城市非常火
[02:17:34 - 02:17:36] 在二线城市非常火
[02:17:38 - 02:17:43] 就是在教育中是这样子的 孩子
[02:17:44 - 02:17:49] 孩子是教育产品的用户
[02:17:49 - 02:17:51] 而不是教育产品的客户
[02:17:51 - 02:17:53] 当他爹妈买了这个产品
[02:17:53 - 02:17:55] 又被销售人员洗了脑之后的话
[02:17:55 - 02:17:57] 孩子只能被动结束
[02:17:57 - 02:18:00] 而且被动结束对孩子来讲也不痛
