[00:00:00 - 00:00:02] 也就是说其实他的这个免费的次数
[00:00:02 - 00:00:04] 包括给的量其实是AVTEC出来的
[00:00:04 - 00:00:06] AVTEC出来的对吧
[00:00:06 - 00:00:08] 好吧然后这个是他的这个效果
[00:00:08 - 00:00:11] 高斯这个效果在24年的时候还是不错的
[00:00:11 - 00:00:13] 新的数据没难道
[00:00:13 - 00:00:13] 然后的话
[00:00:13 - 00:00:15] 当时他的整个下载量
[00:00:15 - 00:00:17] 以及他的这个收入的状态就还好
[00:00:17 - 00:00:20] 差不多一个月的话100多多万吧
[00:00:20 - 00:00:23] 然后就算是一个这个这个在小产品
[00:00:23 - 00:00:24] 没有太多推的情况下
[00:00:24 - 00:00:27] 就还可以的一个这么一个状态
[00:00:27 - 00:00:29] B端的产品的定价机制是这样子
[00:00:29 - 00:00:31] B端的产品你一般来讲的话
[00:00:31 - 00:00:35] 是根据他的人工替代率的5%左右去定价
[00:00:35 - 00:00:36] 人工替代
[00:00:36 - 00:00:39] 你原本那个人多少多少钱
[00:00:39 - 00:00:43] 你按照按照按照按照5%到10%来去定价
[00:00:43 - 00:00:45] AVTEC对吧
[00:00:45 - 00:00:48] 然后但是他这个产品有一个好的点
[00:00:48 - 00:00:50] 就是说他的日火相对来讲
[00:00:50 - 00:00:52] 涨的会比较稳健一些
[00:00:52 - 00:00:55] 会做的比较的稳健
[00:00:55 - 00:00:56] AVTEC不是价值计算
[00:00:56 - 00:01:00] 就是AVTEC是这样子的
