[01:41:00 - 01:41:03] 科學性有效性精準性我覺得其實要好的多得多
[01:41:03 - 01:41:05] 好的多得多對吧
[01:41:05 - 01:41:06] 然後它的特點是什麼
[01:41:06 - 01:41:08] 傳統教育特別明顯就是線性教育
[01:41:08 - 01:41:11] 老世衛中心我講你聽你根不上是你的事
[01:41:12 - 01:41:13] 根不上是
[01:41:13 - 01:41:16] 是你的問題我不管你是聽覺醒還是視覺醒
[01:41:16 - 01:41:17] 反正你根不上
[01:41:18 - 01:41:19] 我覺得
[01:41:19 - 01:41:21] 客觀一點點我覺得傳統教育
[01:41:22 - 01:41:25] 中國的傳統教育最後出來一幫什麼人出來一幫社大
[01:41:25 - 01:41:27] 這個是我認為最不好的一件事
[01:41:27 - 01:41:28] 這是我認為特別不好的一件事
[01:41:29 - 01:41:30] 就是出現了一大群的
[01:41:33 - 01:41:37] 社達就是我可是一直的一個觀點就是
[01:41:37 - 01:41:39] 就是你可以和
[01:41:40 - 01:41:42] 資本家做朋友你可以跟無產主義做朋友
[01:41:43 - 01:41:45] 你也可以跟一個這個宗教人士做朋友
[01:41:45 - 01:41:48] 唯一你不能和社達去做朋友
[01:41:49 - 01:41:52] 社會達爾文主義者社會達爾文主義者
[01:41:52 - 01:41:56] 我我我認為社達是
[01:41:56 - 01:41:58] 我最不認為應該
[01:41:58 - 01:42:00] 有的人這是實話
