[00:40:00 - 00:40:02] 这是一个单科错题解析
[00:40:02 - 00:40:04] 如果你要做全科错题解析的话
[00:40:04 - 00:40:05] 结构就需要做调整
[00:40:05 - 00:40:06] 需要做什么呢
[00:40:06 - 00:40:07] 前面要去做一个harp
[00:40:07 - 00:40:09] 就是我所说的这个
[00:40:09 - 00:40:10] 以一图诗别来去做的分整台
[00:40:10 - 00:40:12] 它到底是哪个科
[00:40:12 - 00:40:13] 给不同的科
[00:40:13 - 00:40:15] 配不同的老师去做不同的结构
[00:40:15 - 00:40:17] 前置需要分析是哪个学科出来
[00:40:17 - 00:40:19] 根据不同的学科
[00:40:19 - 00:40:22] 去做不同的大部分模块去做解构的
[00:40:22 - 00:40:24] 好 这块出来之后的话
[00:40:24 - 00:40:26] 后面其实我们就是把它写入多维表格
[00:40:26 - 00:40:27] 这块东西就不追数了
[00:40:27 - 00:40:29] 就是把它扔到多维表格里面
[00:40:29 - 00:40:31] 然后做两个交互
[00:40:31 - 00:40:34] 一个这个的交互方式
[00:40:34 - 00:40:37] 是一种用问答式的方法来去做交互
[00:40:37 - 00:40:40] 最后会谈到用户界面
[00:40:40 - 00:40:42] 一是问是否需要出题
[00:40:42 - 00:40:42] 也就是我这里面的话
[00:40:42 - 00:40:44] 已经把这个错误的问题
[00:40:44 - 00:40:45] 已经看完了
[00:40:45 - 00:40:47] 你要不要去出一份卷子
[00:40:47 - 00:40:49] A需要B不需要
[00:40:49 - 00:40:51] 然后在第二个是
[00:40:51 - 00:40:53] 我要给你出多少题出来
[00:40:53 - 00:40:55] 3到6到9到12到
[00:40:55 - 00:40:58] 然后把这两个问题拿回来之后
[00:40:58 - 00:40:59] 然后给到什么
