[01:37:00 - 01:37:02] 全人教育之后的话
[01:37:02 - 01:37:04] 成绩比做学科教育还好
[01:37:04 - 01:37:05] 你要不要
[01:37:10 - 01:37:11] 对吧
[01:37:12 - 01:37:13] 对吧
[01:37:13 - 01:37:14] 就是
[01:37:14 - 01:37:19] 当你发现用全人教育最后出来的分数更好
[01:37:19 - 01:37:22] 那你会用什么样的方法来去选择呢
[01:37:22 - 01:37:23] 对吧
[01:37:25 - 01:37:26] 对吧
[01:37:27 - 01:37:29] 大陆星厂上一旦自己做
[01:37:29 - 01:37:31] 市面上要死一拉片是吧
[01:37:31 - 01:37:33] 我这个要跟你说一点
[01:37:33 - 01:37:35] 预想我要说一点
[01:37:35 - 01:37:37] 教育这件事
[01:37:37 - 01:37:39] 大模型厂商自己做的可能性不大
[01:37:39 - 01:37:41] 我直接就这么取说
[01:37:41 - 01:37:43] 大模型厂商直接下场做的可能性不大
[01:37:43 - 01:37:44] 目前只有谁在做
[01:37:44 - 01:37:45] 目前制补在做
[01:37:45 - 01:37:48] 但是做的效果并不是太好
[01:37:48 - 01:37:50] 什么是全人教育
[01:37:50 - 01:37:51] 多说一点点
[01:37:51 - 01:37:53] 什么叫全人教育
[01:37:53 - 01:37:58] 我们的教育不是先天就化分成大学的学科的
[01:37:58 - 01:38:00] 大学的学科的化分
