[01:38:00 - 01:38:02] 这是基于工业化时代
[01:38:02 - 01:38:05] 基于工业不同的分支维度
[01:38:05 - 01:38:08] 来去反向推演我们需要什么样的人
[01:38:10 - 01:38:14] 这是基于工业时代的公种化分
[01:38:14 - 01:38:17] 而化分出来的一个教育的体系
[01:38:20 - 01:38:21] 教育的体系
[01:38:22 - 01:38:28] 但是如果真正意义上做全人教育是什么
[01:38:28 - 01:38:31] 它有点类似于私熟
[01:38:32 - 01:38:36] 就是你难道不应该让一个孩子学历史吗
[01:38:36 - 01:38:37] 学哲学吗
[01:38:37 - 01:38:39] 学艺术吗
[01:38:39 - 01:38:40] 感受美吗
[01:38:40 - 01:38:46] 然后让他能够去理解这个世界真正意义上的底层的东西
[01:38:46 - 01:38:48] 而不是只是那样一些技能
[01:38:48 - 01:38:49] 因为反正技能也没有任何意义
[01:38:50 - 01:38:51] 技能反正也没有意义
[01:38:52 - 01:38:52] 对吧
[01:38:52 - 01:38:57] 你为什么要给孩子培养是面向工业时代和后工业时代的
[01:38:57 - 01:38:58] 学科呢
