[01:02:00 - 01:02:03] 然后它的这个产品你只能挣到100万美元左右
[01:02:03 - 01:02:05] 然后这个产品就他们赶了
[01:02:05 - 01:02:07] 就被人就被人抄了 竞争了
[01:02:07 - 01:02:08] 被人淘汰了
[01:02:08 - 01:02:10] 就再没人用了 你干不干
[01:02:15 - 01:02:15] 你干不干
[01:02:20 - 01:02:22] 我希望大家了解一个东西
[01:02:22 - 01:02:23] 这种产品的生存周期
[01:02:23 - 01:02:25] 我认为就是几个月到一年
[01:02:26 - 01:02:28] 就是几个月到一年
[01:02:28 - 01:02:29] 就这样子的
[01:02:29 - 01:02:31] 我们要说有一个东西啊
[01:02:31 - 01:02:34] 这个要多讲一点点东西
[01:02:34 - 01:02:35] 是这样子的
[01:02:35 - 01:02:39] 企业产品是两层的东西
[01:02:39 - 01:02:46] 一个产品世界上绝大多数产品的生命周期
[01:02:46 - 01:02:48] 都没有你们想象的那么的长久
[01:02:49 - 01:02:52] 都没有你们想象的那么的长久
[01:02:52 - 01:02:55] 然后一个企业才是要想办法
[01:02:55 - 01:02:56] 企业长青的
