[00:15:00 - 00:15:02] 包括写作文学设科
[00:15:02 - 00:15:05] 也就是说文理科它都有
[00:15:05 - 00:15:07] 然后对标的是谁呢
[00:15:07 - 00:15:09] 海外的这些比较有名的
[00:15:09 - 00:15:12] 这种你挫地稳为主体的这个产品的话
[00:15:12 - 00:15:13] 有谷歌起下的叫做PhotoMass
[00:15:13 - 00:15:17] 它是主打带数算数和危机分
[00:15:17 - 00:15:18] 你看它这个名字
[00:15:18 - 00:15:21] PhotoMass就是肯定是和数学会有关的
[00:15:21 - 00:15:22] 第二个呢
[00:15:22 - 00:15:25] 作为帮做了一款叫做CraftedAni
[00:15:25 - 00:15:28] 这个里面它里面有数学有危机分有生物
[00:15:28 - 00:15:31] 但基本上还是以理工合为主理的
[00:15:31 - 00:15:33] 那这个字节的高思呢
[00:15:33 - 00:15:35] 尽管说它这名字起的是非常数学的
[00:15:35 - 00:15:36] 但事实上来讲的话
[00:15:36 - 00:15:38] 它包含了文理全科
[00:15:38 - 00:15:40] 这是它的一个特点
[00:15:40 - 00:15:42] 然后另外的一个特点
[00:15:42 - 00:15:43] 它做了什么
[00:15:43 - 00:15:45] 它做了真人加AI
[00:15:45 - 00:15:47] 它既有真人又有AI
[00:15:47 - 00:15:48] 对吧
[00:15:48 - 00:15:50] 它真人加AI之后它做什么
[00:15:50 - 00:15:53] 它首先AI做成一个免费的策略
[00:15:53 - 00:15:57] 当然它的这个免费是一个引流打发
[00:15:57 - 00:15:59] 每天有十一次免费
[00:15:59 - 00:16:00] 因为
