[00:11:00 - 00:11:02] 然后这个基地分层的结构
[00:11:02 - 00:11:05] 这个是在上级课的知识重点
[00:11:05 - 00:11:07] 底层是这个核心画像
[00:11:07 - 00:11:10] 然后这块可以用Sucker或者那种结构化的方法去讲
[00:11:12 - 00:11:14] 是这样的
[00:11:14 - 00:11:18] 不可能代替巅峰时期的女性经济
[00:11:18 - 00:11:20] 这件事是不可能的
[00:11:20 - 00:11:21] 不可能
[00:11:21 - 00:11:23] 那是不可能的
[00:11:23 - 00:11:24] 对吧
[00:11:24 - 00:11:26] 然后L2是该要记忆
[00:11:26 - 00:11:27] 该要记忆的核心点
[00:11:27 - 00:11:30] 就是它一定是对于你已经有的信息
[00:11:30 - 00:11:32] 进行了有效的规纳总结
[00:11:32 - 00:11:34] 总结出来的一些特质
[00:11:34 - 00:11:37] 一些核心的这些关系和状态的变化
[00:11:37 - 00:11:39] 然后随便记住是记住时间
[00:11:39 - 00:11:40] 地点
[00:11:40 - 00:11:40] 人物
[00:11:40 - 00:11:41] 关系
[00:11:41 - 00:11:44] 然后用来去再回说有一种
[00:11:44 - 00:11:44] 这个
[00:11:44 - 00:11:47] 我很在乎你的这个状态
[00:11:47 - 00:11:47] 对吧
[00:11:47 - 00:11:49] 然后这是给大家绘制出来了
[00:11:49 - 00:11:52] 这个星眼这类产品的一个整体的
[00:11:52 - 00:11:52] 结构图
[00:11:52 - 00:11:54] 整体的这个图对吧
[00:11:54 - 00:11:56] 然后这个
[00:11:56 - 00:11:59] 老年人对这个AI接受度的低的原因
[00:11:59 - 00:12:00] 也给大家去看明
