[00:10:00 - 00:10:02] 不公平對不對
[00:10:03 - 00:10:07] 那我收你點錢應該是很公平
[00:10:07 - 00:10:09] 路伯克當然能用啊
[00:10:11 - 00:10:14] 大家的邏輯今天先不講了
[00:10:14 - 00:10:16] 今天我先講個好啊
[00:10:16 - 00:10:18] 你當我銷售好啊
[00:10:18 - 00:10:19] 好啊好啊來同學們
[00:10:20 - 00:10:22] 明白什麼叫產品思維了嗎
[00:10:22 - 00:10:24] 明白什麼叫產品思維了嗎
[00:10:24 - 00:10:27] 這就是產品思維
[00:10:27 - 00:10:30] 就是看到你們有痛點了
[00:10:30 - 00:10:32] 咱們認真的講一件事
[00:10:32 - 00:10:35] 看到你們有痛點了什麼是好的產品
[00:10:35 - 00:10:35] 經理
[00:10:36 - 00:10:38] 看到一群人有痛點了有需求了
[00:10:39 - 00:10:43] 我不把這玩做出來的話我我我我心裡就變
[00:10:43 - 00:10:44] 我就得把它做出來
[00:10:44 - 00:10:45] 然後
[00:10:45 - 00:10:46] 然後
[00:10:46 - 00:10:49] 然後下了課之後自己花40分鐘搓了個
[00:10:49 - 00:10:52] 東西出來然後內部有因為我有一些種子
[00:10:53 - 00:10:55] 用戶然後讓他們前去拆拆完之後覺得不錯
[00:10:56 - 00:10:58] 然後再給你們拆拆完之後我就可以去進開發了
[00:10:58 - 00:10:59] 進完開發之後部署完
