[00:00:00 - 00:00:04] 我和助教和班班的群助教老师在那个小区给我收到的
[00:00:07 - 00:00:11] 还有我告诉你上一届有一个孩子
[00:00:12 - 00:00:15] 姑娘告诉我转行成功了
[00:00:15 - 00:00:16] 我说好棒
[00:00:16 - 00:00:17] 我说你以前做什么呢
[00:00:17 - 00:00:19] 我以前是建筑设计院的
[00:00:19 - 00:00:21] 我说我的天呐
[00:00:22 - 00:00:23] 真的
[00:00:23 - 00:00:24] 我说我的天呐
[00:00:24 - 00:00:26] 我说你是建筑设计院的
[00:00:26 - 00:00:28] 我说他如果真的是建筑设计院
[00:00:28 - 00:00:29] 不信老师
[00:00:29 - 00:00:30] 我给你看这个
[00:00:30 - 00:00:33] 他给我发了一个他的离职的东西
[00:00:33 - 00:00:36] 他是某个建筑设计院的高级设计员
[00:00:36 - 00:00:38] 然后转到了产品
[00:00:38 - 00:00:39] 说新增长了好多
[00:00:39 - 00:00:41] 果然你们这个东西挣钱
[00:00:43 - 00:00:46] 我说姑娘你你你工作几年了
[00:00:46 - 00:00:47] 工作八年了
[00:00:47 - 00:00:48] 我今年三十了
[00:00:48 - 00:00:50] 转转得很开心
[00:00:50 - 00:01:00] 我说我说姑娘你真的好棒好勇敢啊
