[00:00:00 - 00:00:01] 叫RabbitDo
[00:00:01 - 00:00:04] 客观一点讲还可以对吧
[00:00:04 - 00:00:06] 他确实是个兔子
[00:00:06 - 00:00:08] 他到底是兔子还是什么
[00:00:08 - 00:00:10] 并不太确定
[00:00:10 - 00:00:11] 但确实是RabbitDo
[00:00:11 - 00:00:14] 然后带可以点还出语音
[00:00:14 - 00:00:15] 可以去扣图
[00:00:15 - 00:00:16] 然后OK
[00:00:16 - 00:00:17] 我这个东西
[00:00:17 - 00:00:19] 我去记下来这个词
[00:00:19 - 00:00:20] 我去记下来这个词
[00:00:20 - 00:00:21] 对吧
[00:00:21 - 00:00:24] 然后他再给我例句
[00:00:24 - 00:00:24] RabbitDo
[00:00:24 - 00:00:28] I bought a new rabbitdo at a toaster
[00:00:28 - 00:00:28] 对吧
[00:00:28 - 00:00:30] 然后再加上中文的翻译
[00:00:30 - 00:00:31] 然后RabbitDo
[00:00:31 - 00:00:31] Hong
[00:00:31 - 00:00:33] 然后玩兔子玩偶
[00:00:33 - 00:00:36] 亲相去做对应
[00:00:36 - 00:00:40] 整体的效果其实是相对比较丝滑的
[00:00:40 - 00:00:41] 功能多吗
[00:00:41 - 00:00:42] 功能一点也不多
[00:00:42 - 00:00:45] 核心骨干功能就这一个
[00:00:45 - 00:00:47] 然后主要的能力就是拍照
[00:00:47 - 00:00:49] 大模型把图片识别出来物体
[00:00:49 - 00:00:51] 物品翻译成目标语言
[00:00:51 - 00:00:54] 做例句有TTS功能
[00:00:54 - 00:00:56] 这一套东西
[00:00:56 - 00:00:58] 大家是可以拿扣子做复刻的
[00:00:58 - 00:01:00] 大家是可以拿
