[00:29:00 - 00:29:02] 做教师的后端辅助
[00:29:02 - 00:29:03] 做出体的部分
[00:29:03 - 00:29:04] 再做新增出体
[00:29:04 - 00:29:06] 再做出卷子
[00:29:06 - 00:29:08] to say to be都会有特别多的机会
[00:29:08 - 00:29:10] 所以错题本这个场景的话
[00:29:10 - 00:29:11] 客观一点讲是
[00:29:11 - 00:29:14] to say to be都是极其高频的一件事
[00:29:14 - 00:29:17] 而且又是技术和数据的竞争店
[00:29:17 - 00:29:20] 因为它里面有多么太
[00:29:20 - 00:29:21] 它有多么太
[00:29:21 - 00:29:24] 同时它还有在这里面的一些这个
[00:29:24 - 00:29:26] 来去出题等等一些东西
[00:29:26 - 00:29:29] 所以它里面所需要的技术能力还是比较多的
[00:29:29 - 00:29:32] 然后我们给大家做一个比较简单的
[00:29:32 - 00:29:34] 错题工作流的构建
[00:29:34 - 00:29:35] 比较简单的
[00:29:35 - 00:29:39] 我们看一下这个工作流构建的体系
[00:29:39 - 00:29:40] 首先我们的这个
[00:29:40 - 00:29:42] 先给大家看一下这个作用
[00:29:42 - 00:29:45] 这个作用的话是你随手拍一张这样的一个题
[00:29:45 - 00:29:47] 一张指手写的这个题
[00:29:47 - 00:29:49] 然后就可以对于这个同学
[00:29:49 - 00:29:52] 他的这个题目做相应的强化练习
[00:29:52 - 00:29:55] 就是基于这个错题再去出新的题
[00:29:55 - 00:29:57] 然后能够同时出两份work的
[00:29:57 - 00:29:59] 一份的是这个再给这个
