[02:27:00 - 02:27:05] 当两点之间的距离越来越小时,割线就越来越接近切线
[02:27:05 - 02:27:07] 这个过程的极限就是倒数
[02:27:07 - 02:27:13] 积分学研究函数的累积量,最直观的理解就是即算趋限下方的面积
[02:27:13 - 02:27:16] 我们可以用离万和的方法来低减这个面积
[02:27:16 - 02:27:18] 将趋于分割成许多小举行
[02:27:18 - 02:27:21] 好,不过您看,晚上你们也快睡觉
[02:27:21 - 02:27:25] 然后,出完视频,能够有测试
[02:27:25 - 02:27:27] 我问你们一个问题
[02:27:27 - 02:27:35] 这个产品,这个产品特别适合给谁用
[02:27:39 - 02:27:41] 这产品特别适合给谁用
[02:27:45 - 02:27:47] 特别适合给老师用
[02:27:47 - 02:27:49] 极其适合给老师用
[02:27:49 - 02:27:53] 学生,说句实在话,用这个的可能性没那么大
[02:27:53 - 02:27:56] 但是老师要看出这个产品,太喜欢了
[02:27:56 - 02:27:59] 这里面有各种各样的案例
