[01:57:00 - 01:57:01] 所以在这里里面的话
[01:57:01 - 01:57:05] 我们就可以在两个向线中来去做思考和构建
[01:57:05 - 01:57:07] 做思考和构建
[01:57:07 - 01:57:10] 然后我的身高
[01:57:10 - 01:57:12] so sorry 同学们
[01:57:12 - 01:57:16] 我在初中的时候是一个小矮胖子
[01:57:16 - 01:57:19] 我在初中的时候是个小矮胖子
[01:57:19 - 01:57:21] 我做我们班的第二排
[01:57:21 - 01:57:23] 我是个三层下巴的胖子
[01:57:23 - 01:57:24] 是一个小矮胖子
[01:57:24 - 01:57:27] 所以我当时就立正发问问
[01:57:27 - 01:57:29] 我怎么一定要长高
[01:57:29 - 01:57:30] 我一定要长高
[01:57:31 - 01:57:33] 我一定要长高
[01:57:33 - 01:57:34] 我是个小矮胖子
[01:57:37 - 01:57:37] 对吧
[01:57:37 - 01:57:38] 没有办法
[01:57:38 - 01:57:39] 我是个小矮胖子
[01:57:41 - 01:57:41] 对吧
[01:57:46 - 01:57:46] 没有办法
[01:57:46 - 01:57:47] 所以就是
[01:57:48 - 01:57:48] 对吧
[01:57:50 - 01:57:52] 我想我要是长高是不是就没关系
[01:57:52 - 01:57:55] 然后最后确实就长高了
[01:57:55 - 01:57:55] 对吧
[01:57:55 - 01:57:58] 然后在两个向线上去思考
[01:57:58 - 01:57:59] 实时要学第一
