[00:00:00 - 00:00:01] 都是能到100亿的
[00:00:01 - 00:00:04] 是到100个billion
[00:00:04 - 00:00:06] 1000亿美元的这个量级
[00:00:06 - 00:00:08] 这个完全是不同的一个效果
[00:00:08 - 00:00:08] 然后呢
[00:00:08 - 00:00:09] 我们在这里面的话
[00:00:09 - 00:00:11] 可以框立一个这样的图
[00:00:11 - 00:00:13] 就是业务环节
[00:00:13 - 00:00:14] 业务环节图
[00:00:14 - 00:00:15] 也就是说
[00:00:15 - 00:00:16] 任何一个产业
[00:00:16 - 00:00:18] 你如果从上下游的角度上去分析
[00:00:18 - 00:00:19] 它都包含了
[00:00:19 - 00:00:21] 就是你有什么产品
[00:00:21 - 00:00:22] 你希望卖给谁
[00:00:22 - 00:00:24] 你怎么找到它
[00:00:24 - 00:00:25] 你怎么说服它购买
[00:00:25 - 00:00:27] 产品的利润怎么样
[00:00:27 - 00:00:29] 就是这几个核心的环节
[00:00:29 - 00:00:31] 这几个核心的环节
[00:00:31 - 00:00:32] 你有什么产品
[00:00:32 - 00:00:33] 是你的产品的设计部分
[00:00:33 - 00:00:35] 卖给谁是你的定位问题
[00:00:35 - 00:00:37] 怎么找到它是市场问题
[00:00:37 - 00:00:40] 怎么说服它购买是营销和销售流程
[00:00:40 - 00:00:42] 产品利润是有定价和成不得两个环节
[00:00:42 - 00:00:44] 基本上是这么一个体系
[00:00:44 - 00:00:45] 对吧
[00:00:45 - 00:00:47] 然后教育行业分为两个层面
[00:00:47 - 00:00:49] 业务层面和产品层面
[00:00:49 - 00:00:50] 对吧
[00:00:50 - 00:00:52] 然后我们先说产品层面
[00:00:52 - 00:00:54] 先说一下AI的产品升级
[00:00:54 - 00:00:55] 在这上面的话
[00:00:55 - 00:00:56] 给大家签去框定一点
[00:00:56 - 00:00:57] 如果想做这行的话
[00:00:57 - 00:00:59] 基本上AI不能教育
