[01:21:00 - 01:21:05] 在4年6月1415算是个挺明星的产品
[01:21:05 - 01:21:08] 5000万美元的幣率用户量达到了3000万
[01:21:08 - 01:21:10] 然后17年实现营收
[01:21:10 - 01:21:13] 然后加了一对一加了机器人
[01:21:13 - 01:21:16] 然后之后这个到2018年的6月
[01:21:16 - 01:21:19] 宣布这个一对一月营收就破亿了
[01:21:19 - 01:21:21] 蓄费率超了87%
[01:21:21 - 01:21:23] 然后两年之后倒闭了
[01:21:23 - 01:21:25] 同学们要注意一件事
[01:21:25 - 01:21:27] 第一个K12
[01:21:27 - 01:21:28] K12咱们认真的说
[01:21:28 - 01:21:33] K12是这个世界上难得的好业务
[01:21:33 - 01:21:37] K12真的是这个世界上难得的好业务
[01:21:37 - 01:21:38] 对吧
[01:21:38 - 01:21:40] 它很刚需
[01:21:40 - 01:21:41] 它很高贫
[01:21:41 - 01:21:42] 它是长序费
[01:21:42 - 01:21:47] 所以K12是真的是一个太赚钱的业务了
[01:21:47 - 01:21:50] 咱们有同学之前是做K12吗
[01:21:50 - 01:21:53] 同时到2021年7月份的时候
[01:21:53 - 01:21:54] 双减政策才落地
[01:21:54 - 01:21:57] 它没有死在双减之后
[01:21:57 - 01:21:59] 它是在双减之前就死了
