[00:00:00 - 00:00:03] 和輔導這就是所謂的心理健康艙
[00:00:03 - 00:00:07] 這就是所謂的心理健康艙
[00:00:07 - 00:00:12] 但是這個心理健康艙的問題是什麼
[00:00:12 - 00:00:17] 目前市場上的心理健康艙
[00:00:17 - 00:00:22] 全都是基於大模型之前的產品去做的
[00:00:22 - 00:00:27] 都是基於大模型前的產品的產品去做的
[00:00:27 - 00:00:31] 也就是說它的整體的水平和效果非常的糟糕
[00:00:31 - 00:00:35] 還有你們的這些問題說的就是既讓我覺得你們不懂
[00:00:35 - 00:00:38] 又讓我覺得真實的情況很殘酷
[00:00:38 - 00:00:42] 這麼小的空間不會覺得太壓抑
[00:00:42 - 00:00:45] 這真的有用各個中學一年跳樓
[00:00:45 - 00:00:47] 我告訴你們一個很殘酷的道理
[00:00:47 - 00:00:50] 這個東西的核心是什麼
[00:00:50 - 00:00:55] 我直接告訴你們
[00:00:55 - 00:01:00] 這個東西的核心是效方買它
