[00:00:00 - 00:00:02] 無產 然後甚至神棍
[00:00:02 - 00:00:03] 我覺得其實都有可教的一文
[00:00:03 - 00:00:05] 唯有社來無無
[00:00:05 - 00:00:07] 我覺得要繞牌走
[00:00:07 - 00:00:08] 真的
[00:00:09 - 00:00:11] 而傳統教育特別培養社
[00:00:11 - 00:00:14] 而傳統教育客觀講培養社來
[00:00:14 - 00:00:15] 為什麼
[00:00:15 - 00:00:17] 它會告訴你
[00:00:17 - 00:00:18] 你分高你是好孩子
[00:00:18 - 00:00:20] 它分低它是壞孩子
[00:00:20 - 00:00:22] 你分高你什麼都對
[00:00:22 - 00:00:23] 老師會寵著你
[00:00:23 - 00:00:25] 家長會寵著你
[00:00:25 - 00:00:27] 所有東西都會圍繞著你來
[00:00:27 - 00:00:29] 你不行 那就什麼都
[00:00:29 - 00:00:30] 並不行
[00:00:30 - 00:00:32] 這就是典型的叢林法則
[00:00:32 - 00:00:34] 這個事兒是
[00:00:34 - 00:00:38] 對於人文是非常糟糕的一件事
[00:00:38 - 00:00:39] 所以
[00:00:39 - 00:00:42] 這就是為什麼我個人對字節不喜歡的一個點
[00:00:42 - 00:00:48] 我對字節打心眼裡是很不喜歡的一個點
[00:00:48 - 00:00:49] 其實就是在這個點
[00:00:49 - 00:00:50] 而F能教育時代
[00:00:50 - 00:00:53] 它是以學習者為榮幸
[00:00:53 - 00:00:55] 每個人都有每個人的精彩
[00:00:55 - 00:00:57] 每個人都有每個人的精彩
[00:00:57 - 00:00:58] 智能驅動
[00:00:58 - 00:00:59] 因才失教
[00:00:59 - 00:01:00] 我覺得這才是好的
