[00:00:00 - 00:00:03] 你可真行啊
[00:00:03 - 00:00:05] 我说你可真行啊
[00:00:05 - 00:00:07] 我说我说
[00:00:07 - 00:00:08] 我说你是
[00:00:10 - 00:00:11] 我说你可真行啊
[00:00:16 - 00:00:18] 同学们同学们真的
[00:00:18 - 00:00:20] 我觉得你们最需要的是什么
[00:00:23 - 00:00:26] 对就是那个就是那个姑娘大江
[00:00:26 - 00:00:26] 他也去面了
[00:00:26 - 00:00:28] 大家说你这都挺好的
[00:00:28 - 00:00:30] 但没有做AI的实际经验
[00:00:32 - 00:00:34] 真的很棒了
[00:00:34 - 00:00:34] 真的很棒了
[00:00:36 - 00:00:37] 所以同学们
[00:00:37 - 00:00:39] 你们最需要的是什么
[00:00:39 - 00:00:41] 第一个叫做坚定信心
[00:00:41 - 00:00:43] 第二个去动手
[00:00:43 - 00:00:45] 第三个去走出去
[00:00:46 - 00:00:47] 你们又说说这话
[00:00:47 - 00:00:49] 肯定本身也很优秀
[00:00:49 - 00:00:50] 对吧
[00:00:50 - 00:00:52] 就是肯定他怎么着
[00:00:52 - 00:00:53] 肯定他怎么着
[00:00:53 - 00:00:55] 肯定我跟他一定有差别
[00:00:55 - 00:00:56] 所以我不行
[00:00:56 - 00:01:00] 你说这句话是对你特别好
