[00:00:00 - 00:00:04] 对吧 你都不用竞争对手
[00:00:04 - 00:00:06] 这件事倒不了有竞争
[00:00:06 - 00:00:08] 官官你太高估我了
[00:00:08 - 00:00:09] 照这样做的话
[00:00:09 - 00:00:11] 倒不了有竞争对手
[00:00:11 - 00:00:13] 我已经饿死了
[00:00:13 - 00:00:16] 倒不了这么久
[00:00:16 - 00:00:18] 倒不了这么久
[00:00:18 - 00:00:19] 对不对
[00:00:19 - 00:00:20] 懂了吧
[00:00:20 - 00:00:23] 所以这种是很可怕的一件事
[00:00:23 - 00:00:25] 所以这个是在大模型时代
[00:00:25 - 00:00:27] 任何的产品不能这么烧的
[00:00:27 - 00:00:29] 一个至关重要的原因
[00:00:29 - 00:00:31] 就是你只能是限定次数
[00:00:31 - 00:00:33] 限定时长
[00:00:33 - 00:00:35] 限定一些使用的逻辑
[00:00:35 - 00:00:37] 把它做免费
[00:00:37 - 00:00:39] 这块的免费你还要去算一笔账
[00:00:39 - 00:00:40] 同学们
[00:00:40 - 00:00:43] 这块的免费要去做什么账
[00:00:43 - 00:00:45] 这块的免费要去做什么账
[00:00:45 - 00:00:48] 多展开说一点
[00:00:48 - 00:00:51] 好好奇他这个怎么演算的
[00:00:51 - 00:00:52] 我怕我告诉你
[00:00:52 - 00:00:53] 我的演算方式之后的话
[00:00:53 - 00:00:57] 你们会觉得卖贵了
[00:00:57 - 00:01:00] 等我这个产品推出
