[01:23:00 - 01:23:02] 全是在做大玩客的 什麼是雙減
[01:23:02 - 01:23:05] 就是不准再去做K12的再現業務
[01:23:05 - 01:23:08] 所以在那時候死了一大堆的企業
[01:23:08 - 01:23:12] 然後教培行業是多麼好的一個行業
[01:23:12 - 01:23:14] 萬文大學不是個騙子嗎
[01:23:14 - 01:23:19] 然後2020年上半年總的融資金額超過了144億
[01:23:19 - 01:23:22] 原福島和作業幫融到了77%的金額
[01:23:22 - 01:23:25] 非常非常有錢的一個事情
[01:23:25 - 01:23:27] 這裡面要說一個點
[01:23:28 - 01:23:34] 就是有三種不同的班型
[01:23:34 - 01:23:37] 再現一對一
[01:23:37 - 01:23:40] 再現小班客和再現大班客
[01:23:40 - 01:23:45] 再現一對一就是隨時可以約老師上課
[01:23:45 - 01:23:48] 然後它的成本結構是比較高的一種結構
[01:23:48 - 01:23:51] 口碑輻射度相對比較的低
[01:23:51 - 01:23:54] 主打的是個性化的體驗教學
[01:23:54 - 01:23:57] 再現小班客主班是最難的
[01:23:57 - 01:23:58] 主班非常的難
[01:23:58 - 01:23:59] 為什麼
