[01:08:00 - 01:08:03] 我家孩子在我们小区里被别的阿姨送了一台儿童小相机
[01:08:03 - 01:08:05] 我当然还想我怎么给人家回礼呢
[01:08:05 - 01:08:08] 后来到网上查了一下这东西十几块钱一个
[01:08:08 - 01:08:10] 十几块钱一个儿童小相机
[01:08:10 - 01:08:11] 我的天啊
[01:08:11 - 01:08:12] 里面
[01:08:12 - 01:08:13] 里面能拍照
[01:08:13 - 01:08:14] 能有卡
[01:08:14 - 01:08:19] 然后能够和我手机APP去联合
[01:08:19 - 01:08:20] 我当然都疯了
[01:08:20 - 01:08:21] 我说
[01:08:21 - 01:08:24] 网络人的制造能力太可怕了
[01:08:24 - 01:08:25] 我说
[01:08:25 - 01:08:26] 我说
[01:08:26 - 01:08:30] 网络人的制造能力太可怕了
[01:08:30 - 01:08:33] 然后十几块钱的东西
[01:08:33 - 01:08:35] 然后增加了AI的芯片
[01:08:35 - 01:08:36] 增加了AI的功能
[01:08:36 - 01:08:37] 确实加成本了
[01:08:37 - 01:08:39] 但是直接可以卖到599
[01:08:39 - 01:08:41] 以售1000多台
[01:08:41 - 01:08:42] 其中的核心功能就几个
[01:08:42 - 01:08:44] 第一个叫做拍万物
[01:08:44 - 01:08:45] 拍万物有多简单
[01:08:45 - 01:08:48] 拍英语有多简单
[01:08:48 - 01:08:49] 拍文字
[01:08:49 - 01:08:51] AI对话几个能力
[01:08:51 - 01:08:53] 其实是非常简单的东西
[01:08:53 - 01:08:54] 后来我看了一下
[01:08:55 - 01:08:56] 25块钱一个
[01:08:58 - 01:09:00] 这几个能力
