[00:00:00 - 00:00:03] 然后在这个过程中其实也可以来大家去想一想
[00:00:03 - 00:00:07] 我们的产品如果是要去往一个更加广的方法去推的话
[00:00:07 - 00:00:09] 应该去做什么应该去做什么
[00:00:09 - 00:00:12] 选择营化经济的定位也要去做思考
[00:00:12 - 00:00:15] 不要去做保一养这三个环节
[00:00:15 - 00:00:17] 这三个环节的话基本上都不是小公司能做的
[00:00:17 - 00:00:20] 于这个环节我认为是大有可为的
[00:00:20 - 00:00:21] 大有可为的
[00:00:21 - 00:00:22] 失效设计的话
[00:00:22 - 00:00:23] 第一个失效设计
[00:00:25 - 00:00:26] 第一件事情
[00:00:26 - 00:00:27] 失效设计的话
[00:00:27 - 00:00:28] 我认为你做起来谨慎一点
[00:00:28 - 00:00:31] 我认为你做起来一定要谨慎
[00:00:31 - 00:00:33] 因为失效设计的话
[00:00:33 - 00:00:35] 本质意义不是特别大的
[00:00:35 - 00:00:38] 那你的失效是指什么
[00:00:38 - 00:00:42] 是指的是两种概念的失效
[00:00:42 - 00:00:44] 第一种概念就是说叫做送货充钱
[00:00:44 - 00:00:47] 你比如说他原本说自己喜欢
[00:00:47 - 00:00:49] 他原本说自己不吃辣
[00:00:49 - 00:00:51] 然后这个时候他突然间告诉你
[00:00:51 - 00:00:52] 我想吃火锅
[00:00:52 - 00:00:53] 我想吃辣的
[00:00:53 - 00:00:55] 然后这个时候你要去做确认
[00:00:55 - 00:00:56] 然后他如果确认完了之后的话
[00:00:56 - 00:00:58] 就要对他原本不吃辣的这个属性
[00:00:58 - 00:01:00] 要去做态度
