[01:55:00 - 01:55:02] 不是更好的人去赚这个钱的
[01:55:03 - 01:55:04] 所以我这个单独说一点
[01:55:04 - 01:55:05] 然后对于老师来讲
[01:55:05 - 01:55:06] 课前的背后
[01:55:08 - 01:55:09] 课程的规划
[01:55:09 - 01:55:11] 内容的创作这是老师的刚需
[01:55:11 - 01:55:12] 这个现在这个
[01:55:13 - 01:55:15] 有几家已经在去做这类的产品了
[01:55:15 - 01:55:16] 而且有一定的效果
[01:55:16 - 01:55:19] 然后课中的用课堂 AI课堂和智能版版
[01:55:20 - 01:55:21] 我这个里面其实是给大家就是我那个
[01:55:21 - 01:55:25] 我那个东西其实是做的是老师课中功能
[01:55:25 - 01:55:26] 课中的功能
[01:55:26 - 01:55:27] 然后课后
[01:55:27 - 01:55:28] 课后
[01:55:29 - 01:55:30] 作业的皮卡与反馈
[01:55:30 - 01:55:32] 学生成绩的知识典分析和课中进入管理
[01:55:32 - 01:55:34] 上市做反馈的东西
[01:55:35 - 01:55:36] 给你们做的那个东西
[01:55:36 - 01:55:38] 我还在做什么样的东西呢
[01:55:41 - 01:55:43] 我知道你们家有这个东西
[01:55:43 - 01:55:44] 但是
[01:55:45 - 01:55:45] 不说了
[01:55:45 - 01:55:46] 不说了
[01:55:46 - 01:55:47] 对吧
[01:55:47 - 01:55:48] 这个
[01:55:50 - 01:55:51] 这个这个我还在做什么呢
[01:55:51 - 01:55:53] 我我想做成就是
[01:55:54 - 01:55:57] 就是我在第二期做第一期我来比一排
[01:55:57 - 01:55:58] 我第二期想做什么
[01:55:58 - 01:56:00] 就是我想知道你们谁
