[00:49:00 - 00:49:01] Tierce和用户Tierce隔离
[00:49:01 - 00:49:06] 我再这么再次给大家去看一下这里面的具体例子
[00:49:06 - 00:49:08] 这里面我的系统Tierce
[00:49:08 - 00:49:10] 其实是做得非常简单的
[00:49:10 - 00:49:13] 但事实上这一块的系统Tierce
[00:49:13 - 00:49:18] 要扩写的非常的复杂
[00:49:18 - 00:49:20] 这是我故意写的极其简单
[00:49:20 - 00:49:21] 为了让你们在这问
[00:49:21 - 00:49:23] 为什么要这么去
[00:49:23 - 00:49:25] 这个的Tierce是一段核心Tierce
[00:49:25 - 00:49:28] 我只是在这边故意写的极端简单
[00:49:28 - 00:49:31] 注意这是个初提提示词的过程
[00:49:31 - 00:49:34] 它是需要极其复杂
[00:49:34 - 00:49:36] 而且不能随便瞎改的一个东西
[00:49:38 - 00:49:39] 明白吧
[00:49:39 - 00:49:41] 所以在这个状态下
[00:49:41 - 00:49:45] 你用系统Tierce来去封装
[00:49:45 - 00:49:48] 把一段调是好的优质的帕尔特做封装
[00:49:48 - 00:49:52] 用户Tierce就可以保证足够好的灵活性了
[00:49:52 - 00:49:52] OK
[00:49:52 - 00:49:55] 因为在这门有Opponent Content的这个
[00:49:55 - 00:49:56] 有多少道题
[00:49:56 - 00:49:58] 这种东西如果你打到系统Tierce里的话
[00:49:58 - 00:49:59] 那太可惜了
[00:49:59 - 00:50:00] 为什么
