[00:00:00 - 00:00:01] 你这儿别 咱们别提Aver
[00:00:01 - 00:00:04] 你出来的东西是个视频
[00:00:04 - 00:00:07] 你已经能凭上职称了
[00:00:07 - 00:00:10] 然后你在写篇论文叫做
[00:00:10 - 00:00:14] 论人工智能在教学辅助中的应用
[00:00:14 - 00:00:16] 上一下核看
[00:00:16 - 00:00:18] 你不就凭上职称了吗
[00:00:21 - 00:00:24] 就是对吧
[00:00:24 - 00:00:25] 这个产品这儿呢
[00:00:25 - 00:00:27] 名字在这里
[00:00:27 - 00:00:28] videotour
[00:00:28 - 00:00:29] 这个名字
[00:00:29 - 00:00:30] 你们去试试
[00:00:30 - 00:00:34] 他还支持API
[00:00:34 - 00:00:34] 对吧
[00:00:37 - 00:00:39] 声称这个级别的视频
[00:00:39 - 00:00:40] 很简单
[00:00:40 - 00:00:46] 你随便用一个视频小模型就能去升这个
[00:00:46 - 00:00:48] 这个难度真心不大
[00:00:49 - 00:00:49] 对吧
[00:00:50 - 00:00:51] 对吧
[00:00:51 - 00:00:52] 真心不大
[00:00:52 - 00:00:55] 然后再给大家看几个好玩的产品
[00:00:55 - 00:00:58] 这个产品我认为特别的巧妙
[00:00:58 - 00:00:59] 我很喜欢这个
