[00:00:00 - 00:00:02] 它的环节特别的多
[00:00:02 - 00:00:03] 特别特别的多
[00:00:03 - 00:00:04] 对吧
[00:00:04 - 00:00:07] 行业分析一大堆合同风险
[00:00:07 - 00:00:08] 然后提了建议
[00:00:08 - 00:00:08] 讲话一句
[00:00:08 - 00:00:09] 爱先不先
[00:00:09 - 00:00:11] 这个事是这样子
[00:00:11 - 00:00:14] 这个小太阳
[00:00:14 - 00:00:16] 没有任何的问题
[00:00:16 - 00:00:17] AI做出来
[00:00:17 - 00:00:19] 它应该做的事了
[00:00:19 - 00:00:21] AI做出来
[00:00:21 - 00:00:22] 它应该做的事了
[00:00:22 - 00:00:23] 对不对
[00:00:23 - 00:00:25] 学生这里面
[00:00:25 - 00:00:28] 有自身学习
[00:00:28 - 00:00:29] 有学习规划
[00:00:29 - 00:00:30] 排题搜索
[00:00:30 - 00:00:30] 错地本
[00:00:30 - 00:00:31] AI的数字人老师
[00:00:31 - 00:00:32] 翻译
[00:00:32 - 00:00:33] 和心理知识
[00:00:33 - 00:00:35] 我这个多说一点点
[00:00:35 - 00:00:37] 就是
[00:00:37 - 00:00:40] 目前我看过几个项目
[00:00:40 - 00:00:41] 大家知道现在
[00:00:41 - 00:00:43] 中学
[00:00:43 - 00:00:44] 都有心理
[00:00:44 - 00:00:48] 都有心理健康仓吗
[00:00:48 - 00:00:50] 大家有听说过这个事的吗
[00:00:50 - 00:00:51] 心理健康仓
[00:00:51 - 00:00:56] 都知道有是吧
[00:00:56 - 00:00:57] 就是
[00:00:57 - 00:01:00] 这种周边辅助
