[00:00:00 - 00:00:01] 对吧
[00:00:04 - 00:00:06] if也能买了
[00:00:06 - 00:00:09] 然后就通过这种方式
[00:00:09 - 00:00:13] 就可以把价格提升20倍左右
[00:00:13 - 00:00:16] 然后再给大家看
[00:00:16 - 00:00:18] 也是以多摩泰为主席的这样一个产品
[00:00:18 - 00:00:19] 这个产品也是挣了好多钱
[00:00:19 - 00:00:21] 挣了380万刀了
[00:00:21 - 00:00:24] 然后这个产品叫卡路里道特耶
[00:00:24 - 00:00:26] 卡路里道特耶
[00:00:27 - 00:00:30] 卡路里道特耶我这真的是说多了
[00:00:30 - 00:00:33] 卡路里道特耶这个产品也建议你们去下一下
[00:00:33 - 00:00:35] 叫cll.ai记住
[00:00:35 - 00:00:37] 如果是体验的话记着
[00:00:37 - 00:00:40] 把当时的自动订阅体验完了之后
[00:00:40 - 00:00:41] 立刻给它关了
[00:00:41 - 00:00:44] 这个公司就靠这个东西去挣钱的
[00:00:44 - 00:00:46] 卡路里道特耶他们家是做什么呢
[00:00:46 - 00:00:48] 拍一张照片
[00:00:48 - 00:00:50] 这个照片是什么东西
[00:00:50 - 00:00:52] 然后识别它的卡路里
[00:00:52 - 00:00:55] 识别卡路里完了之后去制定个人的检查
[00:00:55 - 00:00:57] 就这么简单的一个功能
[00:00:57 - 00:00:59] 核心的功能就这么一小条
