[00:12:00 - 00:12:03] 然后在这个过程中其实也可以来大家去想一想
[00:12:03 - 00:12:07] 我们的产品如果是要去往一个更加广的方法去推的话
[00:12:07 - 00:12:09] 应该去做什么应该去做什么
[00:12:09 - 00:12:12] 选择营化经济的定位也要去做思考
[00:12:12 - 00:12:15] 不要去做保一养这三个环节
[00:12:15 - 00:12:17] 这三个环节的话基本上都不是小公司能做的
[00:12:17 - 00:12:20] 于这个环节我认为是大有可为的
[00:12:20 - 00:12:21] 大有可为的
[00:12:21 - 00:12:22] 失效设计的话
[00:12:22 - 00:12:23] 第一个失效设计
[00:12:25 - 00:12:26] 第一件事情
[00:12:26 - 00:12:27] 失效设计的话
[00:12:27 - 00:12:28] 我认为你做起来谨慎一点
[00:12:28 - 00:12:31] 我认为你做起来一定要谨慎
[00:12:31 - 00:12:33] 因为失效设计的话
[00:12:33 - 00:12:35] 本质意义不是特别大的
[00:12:35 - 00:12:38] 那你的失效是指什么
[00:12:38 - 00:12:42] 是指的是两种概念的失效
[00:12:42 - 00:12:44] 第一种概念就是说叫做送货充钱
[00:12:44 - 00:12:47] 你比如说他原本说自己喜欢
[00:12:47 - 00:12:49] 他原本说自己不吃辣
[00:12:49 - 00:12:51] 然后这个时候他突然间告诉你
[00:12:51 - 00:12:52] 我想吃火锅
[00:12:52 - 00:12:53] 我想吃辣的
[00:12:53 - 00:12:55] 然后这个时候你要去做确认
[00:12:55 - 00:12:56] 然后他如果确认完了之后的话
[00:12:56 - 00:12:58] 就要对他原本不吃辣的这个属性
[00:12:58 - 00:13:00] 要去做态度
