[01:11:00 - 01:11:02] 这个功能你能做什么呢
[01:11:02 - 01:11:03] 就是有多简单呢
[01:11:03 - 01:11:08] 四个步骤的一个基础工作流就可以去干这件事了
[01:11:08 - 01:11:10] 开始的时候放一张图片
[01:11:10 - 01:11:14] 然后在中间做一个email.anderson的案子
[01:11:14 - 01:11:17] 你可以去做一个简单的石图的一个小茶件
[01:11:17 - 01:11:20] 然后的话调用大梦醒说这是什么东西
[01:11:20 - 01:11:23] 它的卡罗里是多少 然后出结果就ok了
[01:11:23 - 01:11:26] 对吧 然后这个大致结果给它发张苹果
[01:11:26 - 01:11:28] 然后的话它就可以根据苹果的外观
[01:11:28 - 01:11:30] 然后认为苹果大致的克重
[01:11:30 - 01:11:34] 然后算一个基础的卡罗里的这个量级
[01:11:34 - 01:11:36] 基本上就是这么一个数
[01:11:36 - 01:11:42] 然后但这个app的收入在去年就已经超过了800万Nour
[01:11:42 - 01:11:46] 这个的开发者只有老哥一个人
[01:11:46 - 01:11:48] 老哥一个人
[01:11:48 - 01:11:51] 这就是一个人做的一款产品
[01:11:51 - 01:11:53] 收入超过了800万Nour
[01:11:53 - 01:11:56] 然后当然它不是做了这一款产品
[01:11:56 - 01:11:58] 它结果是非常不准确的
[01:11:58 - 01:12:00] 它的结果非常不准确
