[00:00:00 - 00:00:02] 这是一个单科错题解析
[00:00:02 - 00:00:04] 如果你要做全科错题解析的话
[00:00:04 - 00:00:05] 结构就需要做调整
[00:00:05 - 00:00:06] 需要做什么呢
[00:00:06 - 00:00:07] 前面要去做一个harp
[00:00:07 - 00:00:09] 就是我所说的这个
[00:00:09 - 00:00:10] 以一图诗别来去做的分整台
[00:00:10 - 00:00:12] 它到底是哪个科
[00:00:12 - 00:00:13] 给不同的科
[00:00:13 - 00:00:15] 配不同的老师去做不同的结构
[00:00:15 - 00:00:17] 前置需要分析是哪个学科出来
[00:00:17 - 00:00:19] 根据不同的学科
[00:00:19 - 00:00:22] 去做不同的大部分模块去做解构的
[00:00:22 - 00:00:24] 好 这块出来之后的话
[00:00:24 - 00:00:26] 后面其实我们就是把它写入多维表格
[00:00:26 - 00:00:27] 这块东西就不追数了
[00:00:27 - 00:00:29] 就是把它扔到多维表格里面
[00:00:29 - 00:00:31] 然后做两个交互
[00:00:31 - 00:00:34] 一个这个的交互方式
[00:00:34 - 00:00:37] 是一种用问答式的方法来去做交互
[00:00:37 - 00:00:40] 最后会谈到用户界面
[00:00:40 - 00:00:42] 一是问是否需要出题
[00:00:42 - 00:00:42] 也就是我这里面的话
[00:00:42 - 00:00:44] 已经把这个错误的问题
[00:00:44 - 00:00:45] 已经看完了
[00:00:45 - 00:00:47] 你要不要去出一份卷子
[00:00:47 - 00:00:49] A需要B不需要
[00:00:49 - 00:00:51] 然后在第二个是
[00:00:51 - 00:00:53] 我要给你出多少题出来
[00:00:53 - 00:00:55] 3到6到9到12到
[00:00:55 - 00:00:58] 然后把这两个问题拿回来之后
[00:00:58 - 00:00:59] 然后给到什么
