[00:05:00 - 00:05:04] 现在大陆行应用类的融资结构有兴趣
[00:05:11 - 00:05:12] 有兴趣是吧
[00:05:12 - 00:05:12] 那我稍微多讲一点
[00:05:13 - 00:05:15] 大家是否理解一件事
[00:05:15 - 00:05:17] 我们既然大家对这事有兴趣的话
[00:05:17 - 00:05:19] 我花个四五分钟讲讲
[00:05:20 - 00:05:21] 大家
[00:05:21 - 00:05:23] 知道此时此刻的融资环境
[00:05:24 - 00:05:27] 跟10年前20年前的融资环境有什么差别吗
[00:05:28 - 00:05:28] 我们说说这个
[00:05:29 - 00:05:32] 为什么10年前20年前
[00:05:33 - 00:05:34] 当时互联网时代大家都可以
[00:05:35 - 00:05:39] 融资烧钱免费推广换量为了长线收益
[00:05:39 - 00:05:40] 现在不能看
[00:05:40 - 00:05:41] 为什么
[00:05:41 - 00:05:42] 为什么会这样
[00:05:43 - 00:05:45] 讲讲时间管理啊时间管理
[00:05:45 - 00:05:47] 时间管理我在这
[00:05:47 - 00:05:50] 咱们下课我花个10分钟给你讲好吗
[00:05:53 - 00:05:54] 是这样子
[00:05:54 - 00:05:55] 同学们
[00:05:55 - 00:05:57] 都不是
[00:05:57 - 00:05:58] 你说的都不是
[00:05:58 - 00:05:59] 核心点就
