[00:00:00 - 00:00:03] 最後中國的教育公平化就不存在了
[00:00:03 - 00:00:05] 就這麼簡單的道理
[00:00:07 - 00:00:10] 而如果變成AI來去學習的話
[00:00:10 - 00:00:14] 那其實我們是可以交出來完全不同的孩子
[00:00:14 - 00:00:16] 我們可以去做跨學科的學習
[00:00:16 - 00:00:19] 真正意義上把一個孩子去做全人教育
[00:00:19 - 00:00:21] 而不是做學科教育
[00:00:21 - 00:00:26] 我個人認為做出來真正優質的全人教育的孩子出來
[00:00:26 - 00:00:30] 一定是比學科教育孩子在學科成立上都會更好的
[00:00:33 - 00:00:38] 這個是我對於教育的一點點情懷和邏輯
[00:00:38 - 00:00:42] 所以我女兒以後在家庭的時候
[00:00:42 - 00:00:47] 我會對她進行一定異常的全人教育
[00:00:47 - 00:00:49] 包括文史哲這些東西的話
[00:00:49 - 00:00:53] 我會讓她比較早的去做接觸
[00:00:53 - 00:00:55] 是這樣的
[00:00:55 - 00:00:57] 家長是只需要成績
[00:00:57 - 00:01:00] 但是如果他做完全人教育
