[00:00:00 - 00:00:04] AviTance就是它比如说给有的人11次免费
[00:00:04 - 00:00:05] 看流存看后续转化
[00:00:05 - 00:00:09] 给有的人做8次免费
[00:00:09 - 00:00:11] 看流存看转化来看一下谁更好
[00:00:11 - 00:00:13] 然后发现11次都会更好
[00:00:13 - 00:00:15] 那我会不会再多给点更好呢
[00:00:15 - 00:00:16] 给12次怎么样
[00:00:16 - 00:00:19] 给13次又怎样
[00:00:19 - 00:00:21] 有的给10次又怎样
[00:00:21 - 00:00:24] 然后最后在无数次的实验和地规中
[00:00:24 - 00:00:29] 发现11次的这个数据是综合投产比最好的
[00:00:29 - 00:00:30] 不一定是流存最好的
[00:00:30 - 00:00:31] 不一定是流存最好的
[00:00:31 - 00:00:33] 是综合投产比最好
[00:00:33 - 00:00:36] 因为你要看你的北极星是什么
[00:00:36 - 00:00:37] 你的北极星如果是RI的话
[00:00:37 - 00:00:39] 那就一定是看你的RI的纸
[00:00:39 - 00:00:41] 如果你要北极星是流存的话
[00:00:41 - 00:00:43] 那就要选择看综合流存的纸
[00:00:43 - 00:00:46] 如果是有一个前提的北极星的话
[00:00:46 - 00:00:47] 那就再看在前提之下
[00:00:47 - 00:00:53] 你的北你和北和北极星达成率哪会更高
[00:00:53 - 00:00:58] 这个就是在现有产品中要去做的一件事情
[00:00:58 - 00:01:00] 好 那我们再给大家看
