[00:42:00 - 00:42:07] 我待会说为什么我在这边要去用用户提尔斯和系统提尔斯的两个关系
[00:42:07 - 00:42:14] 然后我把这放在多维表中的核心的逻辑就是为了它的信息不会丢
[00:42:14 - 00:42:17] 为什么要去考虑信息不会丢失的这个事情
[00:42:17 - 00:42:20] 原因是在于我要防止一个情况
[00:42:20 - 00:42:24] 就是如果它给我拍了一张特别大的图
[00:42:25 - 00:42:27] 如果拍了一张特别大的图
[00:42:27 - 00:42:33] 经过我的解析和相应的内容假设会出现
[00:42:33 - 00:42:37] 在实际使用中它的上下文的内容特别长
[00:42:37 - 00:42:39] 我要把我的阶段性产出结果
[00:42:39 - 00:42:43] 不如持久化的放到一个物理文件中
[00:42:43 - 00:42:44] 大家能懂了吧
[00:42:44 - 00:42:48] 因为我当然是可以通过upread传参的方法去走
[00:42:48 - 00:42:54] 但是如果说我后续要去增加一些其他的点
[00:42:55 - 00:42:57] 如果在之前的话
[00:42:57 - 00:43:00] 上下文窗口可能又不太够
