[01:54:00 - 01:54:01] SD去了之后会怎样
[01:54:03 - 01:54:04] who care
[01:54:07 - 01:54:08] who care
[01:54:09 - 01:54:10] 所以在这个问题上
[01:54:10 - 01:54:12] 我这个为什么单独拿出来说一点
[01:54:12 - 01:54:13] 第一个是我想让你们看明白
[01:54:13 - 01:54:15] 就是这种突学校的业务
[01:54:15 - 01:54:16] 到底它的内核是什么
[01:54:16 - 01:54:19] 我给你们讲讲这东西的内核是什么
[01:54:19 - 01:54:21] 这是做这类业务的内核
[01:54:21 - 01:54:21] 不好听
[01:54:21 - 01:54:23] 但是事实上真的就这样
[01:54:23 - 01:54:23] 第二个
[01:54:23 - 01:54:28] 如果你们谁有机会去做这类的产品
[01:54:28 - 01:54:32] 我特别希望你们能做出来一点
[01:54:32 - 01:54:34] 基于大型的好点的东西
[01:54:34 - 01:54:37] 就哪怕一个人这是你的功德
[01:54:37 - 01:54:41] 这是这是这是盛造七级浮涂的东西
[01:54:41 - 01:54:44] 比你做出来一年DAO上亿的产品
[01:54:44 - 01:54:47] 你的成你的成就感更高
[01:54:47 - 01:54:49] 不是你不是不该赚
[01:54:49 - 01:54:50] 你要想着去赚这个钱
[01:54:51 - 01:54:53] 你只能把这个业务做的好一点
[01:54:53 - 01:54:56] 哪怕就个人这钱就该你赚
[01:54:56 - 01:54:57] 不要想着不要去赚这个钱
[01:54:57 - 01:54:59] 这钱总有人要赚
[01:54:59 - 01:55:00] 为什么
