[00:00:00 - 00:00:03] 都做了相应的干预 但这个孩子还是这么选择了
[00:00:03 - 00:00:05] 我们也已经尽力了
[00:00:12 - 00:00:14] 心理健康操场上也不赔钱
[00:00:14 - 00:00:17] 我所有的东西都符合国家标准
[00:00:20 - 00:00:21] 也都符合标准
[00:00:24 - 00:00:25] 明白了吗
[00:00:27 - 00:00:29] 同学们明白了吗
[00:00:29 - 00:00:34] 而且哪个孩子会去那个仓啊
[00:00:36 - 00:00:40] 去那个仓的孩子能是长得特别漂亮
[00:00:40 - 00:00:43] 很popular还是分数特别好
[00:00:43 - 00:00:50] 被老师的宠儿还是富二代天天请同学们吃这
[00:00:50 - 00:00:52] 吃那很popular的孩子吗
[00:00:52 - 00:00:53] 不会啊
[00:00:53 - 00:00:54] 一定大概的学习不好
[00:00:54 - 00:00:56] 家庆一般被霸凌的
[00:00:56 - 00:00:57] 你再去那个好了
[00:00:57 - 00:00:59] 不去都批评
