[00:00:00 - 00:00:01] 给孩子做使用性答疑
[00:00:01 - 00:00:03] 然后你只要是加盟这个
[00:00:03 - 00:00:07] 你加盟这个又不会受到K12的监管
[00:00:07 - 00:00:10] 又不当心老师会跑路
[00:00:10 - 00:00:12] 拿着学生去跑路
[00:00:12 - 00:00:13] 成本低利润高
[00:00:13 - 00:00:15] 最小加盟额只要一万块钱
[00:00:15 - 00:00:17] 最高加盟额要成为地方总代
[00:00:17 - 00:00:20] 三百万到五百万的这么一个范畴
[00:00:20 - 00:00:22] 然后里面所用的AI
[00:00:22 - 00:00:23] 我们看了一下
[00:00:23 - 00:00:26] 说实话非常非常的
[00:00:27 - 00:00:28] 逆斑
[00:00:28 - 00:00:29] 然后这件事
[00:00:31 - 00:00:32] 对呀
[00:00:32 - 00:00:34] 最小一万就可以加盟
[00:00:34 - 00:00:36] 最小一万就可以加盟
[00:00:36 - 00:00:38] 你让谁来去代言了这个产品吗
[00:00:38 - 00:00:39] 在现下的加盟会上
[00:00:39 - 00:00:42] 把疯狂婴女的李洋都叫过来了
[00:00:42 - 00:00:47] 然后李洋带着下面全体的加上
[00:00:47 - 00:00:48] 在那高喊着号子
[00:00:50 - 00:00:53] 然后我为了释放这件事的话
[00:00:53 - 00:00:56] 我我这个以身入局
[00:00:56 - 00:00:59] 进到他们的招商大会上去去看了
[00:00:59 - 00:01:00] 差
