[02:14:00 - 02:14:03] 做难度的相对的平滑分布
[02:14:03 - 02:14:05] 他们家UI特别的臭
[02:14:05 - 02:14:09] 他就是你可以认为是把采云小梦的那个功能
[02:14:09 - 02:14:10] 变成了孩子作文
[02:14:10 - 02:14:13] 同时变成启发式
[02:14:13 - 02:14:15] 而且还可以回想以前的内容
[02:14:15 - 02:14:18] 然后他也做了这种超访真数字化老师
[02:14:18 - 02:14:21] 这是他们家做的一个
[02:14:21 - 02:14:27] 我觉得我不太能凭价的一个产品
[02:14:27 - 02:14:28] 但是我要给大家讲
[02:14:28 - 02:14:33] 这是目前市面上有的这种比较有意思的产品方向
[02:14:33 - 02:14:35] 右上角这是豆腥老师
[02:14:35 - 02:14:37] 这是他们家的主IEI
[02:14:37 - 02:14:39] 他们家的老板
[02:14:39 - 02:14:44] 他们家用超访真AI数字人老师做小班客
[02:14:47 - 02:14:52] 然后做小班客
[02:14:52 - 02:14:56] 你们能理解这件事是个什么样的事吗
[02:14:56 - 02:14:59] 就是这个功能是很多家在做
