[02:40:00 - 02:40:01] 看你的艺术了
[02:40:05 - 02:40:07] 他特别适合两个人做
[02:40:07 - 02:40:10] 一个人是混子哥
[02:40:10 - 02:40:12] 一个人是马博用
[02:40:13 - 02:40:14] 是马博用
[02:40:17 - 02:40:18] 真的
[02:40:21 - 02:40:25] 你发现这个产品真的太有趣了
[02:40:25 - 02:40:27] 所以你发现在AI时代
[02:40:27 - 02:40:28] 我给你看到了
[02:40:28 - 02:40:30] 就是在这边其实是最稳妥的产品
[02:40:30 - 02:40:32] 如多灵国该怎么去做
[02:40:32 - 02:40:35] 最卑劣的产品AI自己社会怎么做
[02:40:35 - 02:40:38] 最有意思的产品中小儿美的也可以去做
[02:40:38 - 02:40:39] 非常有创新性的产品也可以做
[02:40:39 - 02:40:41] 这边有太多的机会可以去玩
[02:40:41 - 02:40:42] 对吧
[02:40:42 - 02:40:43] 整体总结一下
[02:40:43 - 02:40:45] 今天给你们拖得比较晚
[02:40:47 - 02:40:49] 错题的工作本的这个
[02:40:49 - 02:40:51] 工作流的整体的搭建
[02:40:51 - 02:40:52] 希望你们去搭爱的
[02:40:52 - 02:40:54] 看看这一本的情况
[02:40:54 - 02:40:56] 核心的启发是这个
[02:40:56 - 02:40:57] 对于多摩泰的理解
[02:40:57 - 02:40:58] 图片的理解
[02:40:58 - 02:40:59] 云云的理解
[02:40:59 - 02:41:00] 视频的拆分
