[02:01:00 - 02:01:02] 每年就瘋狂去走
[02:01:02 - 02:01:06] 这是他这几年的豆丁波的彩报
[02:01:06 - 02:01:10] 然后他的核心闯关加游戏化
[02:01:10 - 02:01:13] 就是人是不喜欢去学习和作题的
[02:01:13 - 02:01:18] 但是闯关PK这个游戏化
[02:01:18 - 02:01:22] 打卡任务 买皮肤
[02:01:22 - 02:01:25] 这件事是绕不开的
[02:01:25 - 02:01:28] 这个更新是非常非常强的
[02:01:28 - 02:01:31] 就是他是做了这个东西
[02:01:31 - 02:01:33] 如果你把它打开
[02:01:33 - 02:01:34] 你不去刷完题
[02:01:34 - 02:01:36] 你其他所有的功能不让你利用
[02:01:36 - 02:01:38] 非常非常厉害
[02:01:38 - 02:01:40] 这个你也不喜欢
[02:01:40 - 02:01:42] 没关系 李诺
[02:01:42 - 02:01:44] 我问你一个问题
[02:01:44 - 02:01:46] 就是你喜欢什么
[02:01:46 - 02:01:48] 你喜欢什么
[02:01:50 - 02:01:52] 斑马就是抄他们家的
[02:01:52 - 02:01:54] 斑马是在抄他们家的
[02:01:54 - 02:01:55] 非常的厉害
[02:01:55 - 02:01:57] 他的核心的学习模式
[02:01:57 - 02:01:59] 然后等于完成课程
