[01:40:00 - 01:40:02] 以及做一個更加完整的人
[01:40:02 - 01:40:06] 我覺得我們的目標不是說考一個高的分
[01:40:06 - 01:40:08] 也不至於是上一個好的班
[01:40:08 - 01:40:11] 也不至於掙多少多少錢
[01:40:11 - 01:40:14] 我們首先得是一個完整完好的人
[01:40:14 - 01:40:17] 這件事才是一個人所追求的目的
[01:40:17 - 01:40:19] 而在這件事上我希望我的女兒
[01:40:19 - 01:40:22] 她可以不用去上最頂尖的大學
[01:40:22 - 01:40:24] 她可以不用去掙很多的錢
[01:40:24 - 01:40:26] 她只要能成為一個很完好的人
[01:40:26 - 01:40:28] 其他的那樣些事重要嗎
[01:40:28 - 01:40:30] 我個人不重要
[01:40:30 - 01:40:32] 我個人認為沒有那麼重要
[01:40:32 - 01:40:34] 這是我總體的一個概念
[01:40:41 - 01:40:43] 這是我總體的這麼一個概念
[01:40:43 - 01:40:44] 對吧
[01:40:44 - 01:40:48] 我其實做技術不需要文史者
[01:40:48 - 01:40:50] 你真的覺得嗎
[01:40:50 - 01:40:51] 你真的覺得嗎
[01:40:51 - 01:40:53] 來不說這個了
[01:40:53 - 01:40:55] 不說這個了來教學工具的話
[01:40:55 - 01:40:57] 傳統教育就是作業就是事卷
[01:40:57 - 01:41:00] 而到了AF能教也是它有多A測評
