[00:00:00 - 00:00:01] 短視頻呢
[00:00:06 - 00:00:07] 都是一樣的道理
[00:00:08 - 00:00:09] 都是一樣的道理
[00:00:10 - 00:00:11] 未來的狀態就是
[00:00:12 - 00:00:13] 有人去搓
[00:00:13 - 00:00:15] 搓出來的未必
[00:00:15 - 00:00:18] 就是有的有的你搓出來之後可能就
[00:00:20 - 00:00:21] 一個人用是沒有人用
[00:00:21 - 00:00:24] 就跟你拍個短視頻之後的話點讚是零是一樣的
[00:00:25 - 00:00:27] 但是你擁有了一種可能性
[00:00:28 - 00:00:30] 哪怕是1%的概率這個東西
[00:00:30 - 00:00:32] 他能火10%的概率有人用
[00:00:33 - 00:00:36] 有無數多忙忙多人就會去做這件事
[00:00:36 - 00:00:37] 這就是外部科
[00:00:37 - 00:00:39] 這就是外部科定在這個狀態下的特點
[00:00:43 - 00:00:44] 真的
[00:00:50 - 00:00:52] 對你要這麼去說
[00:00:52 - 00:00:55] openclo 就是純外部科定的產物
[00:00:56 - 00:00:59] 100個有一個火了他就是機會
[00:00:59 - 00:01:00] 只要你
