[01:10:00 - 01:10:01] 对吧
[01:10:04 - 01:10:06] if也能买了
[01:10:06 - 01:10:09] 然后就通过这种方式
[01:10:09 - 01:10:13] 就可以把价格提升20倍左右
[01:10:13 - 01:10:16] 然后再给大家看
[01:10:16 - 01:10:18] 也是以多摩泰为主席的这样一个产品
[01:10:18 - 01:10:19] 这个产品也是挣了好多钱
[01:10:19 - 01:10:21] 挣了380万刀了
[01:10:21 - 01:10:24] 然后这个产品叫卡路里道特耶
[01:10:24 - 01:10:26] 卡路里道特耶
[01:10:27 - 01:10:30] 卡路里道特耶我这真的是说多了
[01:10:30 - 01:10:33] 卡路里道特耶这个产品也建议你们去下一下
[01:10:33 - 01:10:35] 叫cll.ai记住
[01:10:35 - 01:10:37] 如果是体验的话记着
[01:10:37 - 01:10:40] 把当时的自动订阅体验完了之后
[01:10:40 - 01:10:41] 立刻给它关了
[01:10:41 - 01:10:44] 这个公司就靠这个东西去挣钱的
[01:10:44 - 01:10:46] 卡路里道特耶他们家是做什么呢
[01:10:46 - 01:10:48] 拍一张照片
[01:10:48 - 01:10:50] 这个照片是什么东西
[01:10:50 - 01:10:52] 然后识别它的卡路里
[01:10:52 - 01:10:55] 识别卡路里完了之后去制定个人的检查
[01:10:55 - 01:10:57] 就这么简单的一个功能
[01:10:57 - 01:10:59] 核心的功能就这么一小条
