[00:09:00 - 00:09:02] 其实说实话 李星星是这样子的
[00:09:02 - 00:09:04] 就是你和这件事关系不大
[00:09:04 - 00:09:05] 你是个毕业生
[00:09:07 - 00:09:08] 对不对
[00:09:08 - 00:09:09] R外得为政的
[00:09:10 - 00:09:14] 你最后投4-5万万下去
[00:09:14 - 00:09:15] 还没做MVP了
[00:09:15 - 00:09:16] 怎么可能给你投钱
[00:09:16 - 00:09:17] 对不对
[00:09:17 - 00:09:18] 很简单的事
[00:09:18 - 00:09:19] 对吧
[00:09:20 - 00:09:20] 对吧
[00:09:20 - 00:09:22] 就是我知道你很好学
[00:09:22 - 00:09:24] 我很喜欢你好学的样子
[00:09:24 - 00:09:26] 但是这个事真的是跟你关系
[00:09:26 - 00:09:27] 没有那么密切
[00:09:27 - 00:09:28] 实话
[00:09:28 - 00:09:29] 实话
[00:09:29 - 00:09:31] 就是我很喜欢你好学的样子
[00:09:31 - 00:09:33] 这个事没有问题
[00:09:33 - 00:09:36] 但是这个东西对你有一点点超越
[00:09:36 - 00:09:37] 我们先给大家讲一下
[00:09:37 - 00:09:40] 这个教育智能体
[00:09:40 - 00:09:42] 产品核心的技术拆解和产品设计
[00:09:42 - 00:09:43] 尤其是给大家讲一讲
[00:09:43 - 00:09:45] 教育行业的逻辑
[00:09:45 - 00:09:48] 给大家讲讲教育行业这个逻辑
[00:09:49 - 00:09:50] 因为教育行业我认为
[00:09:50 - 00:09:52] 就是在后一段时间内出现
[00:09:52 - 00:09:55] 这个比较好的智能体的这种机会上是非常多的
[00:09:55 - 00:09:57] 非常非常的多
[00:09:57 - 00:09:59] 然后给大家去教一下这个部分的东西
