[02:13:00 - 02:13:02] 然后给大家说它的主要一些功能
[02:13:02 - 02:13:03] 一个是上传作文
[02:13:03 - 02:13:04] 因为它家做大语文
[02:13:04 - 02:13:06] 上传作文之后给你的AI做诊断
[02:13:08 - 02:13:10] 然后根据你缺什么
[02:13:10 - 02:13:11] 根据你的AI诊断
[02:13:11 - 02:13:13] 说你到底是浅子造句不好
[02:13:13 - 02:13:16] 还是你的整体的表达不好
[02:13:16 - 02:13:18] 还是其他什么东西不好
[02:13:18 - 02:13:20] 根据能力安排内容和学习的方案
[02:13:20 - 02:13:22] 然后在这边比如说
[02:13:22 - 02:13:25] 它做了一些启发式的互动
[02:13:25 - 02:13:26] 比如说你最后这段
[02:13:26 - 02:13:28] 你想去改哪段的设计
[02:13:28 - 02:13:30] 这里面最后这段
[02:13:30 - 02:13:32] 你希望改成哪个方式
[02:13:32 - 02:13:33] 对吧
[02:13:33 - 02:13:36] 通过人和AI
[02:13:36 - 02:13:38] 共同完成相应的创作
[02:13:42 - 02:13:45] 把学生的心态搞崩溃是吧
[02:13:45 - 02:13:47] 是这样子的
[02:13:47 - 02:13:51] 就是两方面的东西
[02:13:51 - 02:13:53] 就是你不能把题目
[02:13:53 - 02:13:57] 每一集的难度系数差别那么大
[02:13:57 - 02:13:59] 你不能把难度系数做得满
