[00:58:00 - 00:58:02] 大模型直到现在其实对于多摩泰和他的文字比起来
[00:58:02 - 00:58:04] 其实依然是差了很多
[00:58:04 - 00:58:09] 但是至少至少能够相对比较廉价的能有这类功能
[00:58:09 - 00:58:09] 对吧
[00:58:09 - 00:58:11] 这个带来了有一些新的机会
[00:58:11 - 00:58:12] 给大家看几种新的机会
[00:58:12 - 00:58:13] 第一个
[00:58:14 - 00:58:16] 这也是一个教育类的产品
[00:58:16 - 00:58:18] 2025年iPo的设的
[00:58:18 - 00:58:22] 这个在iPo Store的设计大奖的产品叫Kabroars
[00:58:22 - 00:58:24] 他是用一个非常小的单点
[00:58:24 - 00:58:25] 用AI的能力做出来一个
[00:58:25 - 00:58:28] 我认为就是新奇特的这个体验
[00:58:28 - 00:58:31] 通过这种优质体验拿到了一个非常好的奖
[00:58:31 - 00:58:32] 他的功能是什么呢
[00:58:32 - 00:58:36] 这个我建议咱们去下一下去玩一玩
[00:58:36 - 00:58:38] 我觉得他的体验非常有意思
[00:58:38 - 00:58:40] 他的功能流程是这样子的
[00:58:40 - 00:58:42] 他的主见面也是一个拍照
[00:58:42 - 00:58:44] 也是一个拍照
[00:58:44 - 00:58:45] 然后今天还没结束
[00:58:45 - 00:58:48] 来记录下第一个单词吧
[00:58:48 - 00:58:50] 我随手拍了一个东西
[00:58:50 - 00:58:51] 拍了一个这个东西
[00:58:51 - 00:58:56] 这是我的一个这个泡马特家的一个小的忙盒
[00:58:56 - 00:58:57] 拍完它之后
[00:58:57 - 00:58:59] 拍报告这个东西叫做Rabidor
