[01:19:00 - 01:19:02] RFID那是
[01:19:02 - 01:19:04] 然后另外一些产品的思路
[01:19:04 - 01:19:05] 拍图做饭
[01:19:05 - 01:19:06] 这可能的机会
[01:19:06 - 01:19:07] 打开冰箱
[01:19:07 - 01:19:09] 拍一张剩余食材的图片
[01:19:09 - 01:19:11] 我认为这是一个很好的创意
[01:19:11 - 01:19:12] 打开冰箱
[01:19:12 - 01:19:13] 看一下剩余什么样的食材
[01:19:13 - 01:19:14] 拍一张
[01:19:14 - 01:19:17] 然后自动的帮你识别食材
[01:19:17 - 01:19:20] 然后设计书符合用户口味要求的详细的菜谱
[01:19:20 - 01:19:22] 我觉得这是有功能的
[01:19:22 - 01:19:26] 怎么识别5块钱的餐馅和15块钱的餐馅
[01:19:26 - 01:19:29] 识别的不准
[01:19:29 - 01:19:31] 识别的不准
[01:19:31 - 01:19:32] 不准
[01:19:32 - 01:19:33] 对吧
[01:19:33 - 01:19:34] 然后无障碍辅助
[01:19:34 - 01:19:36] 比如说一个势力障碍人士
[01:19:36 - 01:19:38] 通过手机摄像头赶着周围
[01:19:38 - 01:19:41] 例如实时的用语来去做描述
[01:19:41 - 01:19:44] 你面前有山半开的门前方5米
[01:19:44 - 01:19:45] 说有一把椅子
[01:19:45 - 01:19:49] 而这个功能事实上是在我的这个夸克眼镜上
[01:19:49 - 01:19:51] 在我的夸克眼镜上已经做到这个
[01:19:51 - 01:19:54] 已经做到这个了
[01:19:54 - 01:19:54] 好
[01:19:54 - 01:19:57] 帮助阅读要凭上的标签和计量
[01:19:57 - 01:19:59] 如果是对于这种市账人群的话
[01:19:59 - 01:20:00] 我觉得是非常
