[00:00:00 - 00:00:04] 这张臭脸模拟上压力的这个状态
[00:00:05 - 00:00:06] 然后第二个
[00:00:06 - 00:00:09] 这种不是特别的这种甜美
[00:00:10 - 00:00:14] 然后服务性的表情更容易有记忆点
[00:00:14 - 00:00:15] 更容易有记忆点
[00:00:15 - 00:00:17] 这是莉莉的人设
[00:00:17 - 00:00:21] 但为什么选择莉莉去做这个视频通话的人物啊
[00:00:21 - 00:00:22] 对吧
[00:00:22 - 00:00:23] 为什么选他
[00:00:23 - 00:00:25] 这个才是最重要的
[00:00:25 - 00:00:27] 就是为什么不选这个门啊
[00:00:28 - 00:00:31] 这个阳光帅气大男孩去做的话
[00:00:32 - 00:00:34] 那为什么没有去选他呢
[00:00:34 - 00:00:37] 莉莉确实是臭脸人设这事没问题
[00:00:37 - 00:00:38] 对吧
[00:00:38 - 00:00:42] 然后之后他又在多灵光麦兽增加了一个这个沉浸式场景
[00:00:42 - 00:00:43] 这只有美区有
[00:00:44 - 00:00:45] 美区有
[00:00:47 - 00:00:48] 叫做Adventure
[00:00:48 - 00:00:50] 然后就是相当于是一个整体的环境
[00:00:51 - 00:00:53] 你和不同的人在这边去做对话
[00:00:53 - 00:00:55] 这个也是通过AI来去做的
[00:00:55 - 00:00:56] 给部分的东西
[00:00:56 - 00:00:59] 然后他通过AI去做了相应的科诞家的提升
