[00:47:00 - 00:47:04] Code在哪去存MD文件啊 沒有啊
[00:47:04 - 00:47:05] 沒有啊
[00:47:05 - 00:47:08] 就是Code不支持存文件這個操作
[00:47:08 - 00:47:12] 或者叫Code的低代碼平台
[00:47:12 - 00:47:14] 就是Code工作流不支持我存文件
[00:47:14 - 00:47:17] Code的Wipe Coding支持我存文件
[00:47:17 - 00:47:20] 在這我沒地去存卷
[00:47:21 - 00:47:22] 懂了吧
[00:47:23 - 00:47:25] 就是我沒判法
[00:47:25 - 00:47:31] 所以在這個狀況下我客觀一點講我又是一個有結構的東西
[00:47:31 - 00:47:35] 大家注意啊為什麼我要去存個多維表格
[00:47:35 - 00:47:37] 我不是直接去存一個飛書輿論的
[00:47:37 - 00:47:41] 不是為了裝插而是由於在這裡面它本身
[00:47:41 - 00:47:44] 就是有多個不同的列
[00:47:44 - 00:47:47] 它有Studio的Name有錯題學科有學科有錯題類型Type
[00:47:47 - 00:47:49] 有錯題支點有支點解析
[00:47:49 - 00:47:51] 它本身是有結構的
[00:47:51 - 00:47:54] 有結構的東西我把它存在一個飛書的
[00:47:54 - 00:47:56] 雲文檔裡我後面還得再做一次
