[00:00:00 - 00:00:01] 对于哪个支点有问题
[00:00:01 - 00:00:04] 我可能会让我能看到
[00:00:04 - 00:00:05] 我在后续的话
[00:00:05 - 00:00:07] 看我怎么能够去帮到你们
[00:00:07 - 00:00:09] 所以这块能做出来很多的一些功能
[00:00:09 - 00:00:10] 然后教育的过程
[00:00:10 - 00:00:11] 包括评估
[00:00:11 - 00:00:13] 学习的评估和心理评估
[00:00:13 - 00:00:14] 我觉得两方面都需要
[00:00:14 - 00:00:16] 尤其对于青春期的孩子
[00:00:16 - 00:00:18] 我觉得真的太宝贵了
[00:00:18 - 00:00:19] 然后管理的部分
[00:00:19 - 00:00:20] 包括排课
[00:00:20 - 00:00:21] 包括图书馆
[00:00:21 - 00:00:22] 包括智能课服
[00:00:22 - 00:00:25] 我觉得这些都是在校方管理中的
[00:00:25 - 00:00:27] 这种校旗联动的东西可以去做的
[00:00:27 - 00:00:29] 然后科研的高校科研平台和知识库
[00:00:29 - 00:00:31] 我觉得都需要
[00:00:31 - 00:00:32] 你们知道为什么
[00:00:32 - 00:00:35] 我对于就是学生的心理支持
[00:00:35 - 00:00:38] 我特别希望
[00:00:38 - 00:00:40] 我特别希望你们能够有人好好做的吗
[00:00:44 - 00:00:47] 因为我在初中的时候
[00:00:47 - 00:00:49] 我在高中的时候
[00:00:49 - 00:00:51] 我是那个被霸凌的
[00:00:51 - 00:00:54] 所以我特别希望有这么一天
[00:00:54 - 00:00:57] 有人能够去拯救当时的我
